Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
38096.0,72113.0,40928.0,31185.0,12754184.0,2024,Kent,42,0
37769.0,71273.0,40511.0,30762.0,12696233.0,2024,Kent,42,0
37717.0,71398.0,40482.0,30916.0,12745530.0,2024,Kent,42,0
37780.0,71395.0,40554.0,30841.0,12488828.0,2024,Kent,42,0
38121.0,71984.0,40943.0,31041.0,12618032.0,2024,Kent,42,0
38381.0,72518.0,41253.0,31265.0,12711182.0,2024,Kent,42,0
38382.0,72412.0,41289.0,31123.0,12699838.0,2024,Kent,42,0
38431.0,72345.0,41314.0,31031.0,12772566.0,2024,Kent,42,0
39014.0,73653.0,41967.0,31686.0,13034398.0,2024,Kent,42,0
39127.0,73809.0,42080.0,31729.0,13218845.0,2024,Kent,42,0
39399.0,74135.0,42322.0,31813.0,13140684.0,2024,Kent,42,0
39799.0,74876.0,42759.0,32117.0,13324944.0,2024,Kent,42,0
38501.0,72659.0,41367.0,31292.0,12850439.0,2024,Kent,42,0
