Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
4233.0,8118.0,4962.0,3156.0,1366528.0,2024,Lapeer,45,0
4229.0,8149.0,4945.0,3204.0,1381875.0,2024,Lapeer,45,0
4270.0,8194.0,4990.0,3204.0,1398930.0,2024,Lapeer,45,0
4302.0,8289.0,5047.0,3242.0,1374003.0,2024,Lapeer,45,0
4348.0,8340.0,5098.0,3242.0,1374941.0,2024,Lapeer,45,0
4357.0,8386.0,5123.0,3263.0,1383179.0,2024,Lapeer,45,0
4360.0,8410.0,5130.0,3280.0,1388463.0,2024,Lapeer,45,0
4286.0,8244.0,5022.0,3222.0,1372048.0,2024,Lapeer,45,0
4252.0,8185.0,4984.0,3201.0,1370953.0,2024,Lapeer,45,0
4207.0,8060.0,4922.0,3138.0,1367230.0,2024,Lapeer,45,0
4190.0,8037.0,4905.0,3132.0,1346919.0,2024,Lapeer,45,0
4230.0,8124.0,4958.0,3166.0,1362394.0,2024,Lapeer,45,0
4272.0,8211.0,5007.0,3204.0,1373955.0,2024,Lapeer,45,0
