Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
481.0,862.0,579.0,283.0,145692.0,2024,Luce,49,0
486.0,869.0,582.0,287.0,149549.0,2024,Luce,49,0
493.0,890.0,592.0,298.0,153150.0,2024,Luce,49,0
504.0,904.0,607.0,297.0,147644.0,2024,Luce,49,0
512.0,920.0,615.0,305.0,150269.0,2024,Luce,49,0
510.0,918.0,610.0,308.0,156554.0,2024,Luce,49,0
516.0,920.0,613.0,307.0,153511.0,2024,Luce,49,0
511.0,911.0,608.0,303.0,155627.0,2024,Luce,49,0
518.0,933.0,620.0,313.0,157751.0,2024,Luce,49,0
508.0,908.0,604.0,304.0,149745.0,2024,Luce,49,0
500.0,902.0,596.0,306.0,146479.0,2024,Luce,49,0
502.0,909.0,599.0,310.0,148708.0,2024,Luce,49,0
503.0,904.0,602.0,302.0,151223.0,2024,Luce,49,0
