Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
59860.0,114543.0,70587.0,43956.0,20650498.0,2024,Macomb,51,0
59599.0,113865.0,70217.0,43648.0,20655826.0,2024,Macomb,51,0
59738.0,113922.0,70344.0,43578.0,20762011.0,2024,Macomb,51,0
59621.0,113691.0,70260.0,43431.0,20388924.0,2024,Macomb,51,0
59939.0,114347.0,70724.0,43623.0,20406311.0,2024,Macomb,51,0
59952.0,114341.0,70798.0,43543.0,20368363.0,2024,Macomb,51,0
59839.0,113984.0,70656.0,43328.0,20392766.0,2024,Macomb,51,0
59730.0,113832.0,70533.0,43299.0,20408457.0,2024,Macomb,51,0
60069.0,114409.0,70912.0,43497.0,20546742.0,2024,Macomb,51,0
60363.0,115020.0,71265.0,43755.0,20785784.0,2024,Macomb,51,0
60621.0,115344.0,71467.0,43877.0,20640044.0,2024,Macomb,51,0
61141.0,116413.0,72110.0,44303.0,21112678.0,2024,Macomb,51,0
60039.0,114476.0,70823.0,43653.0,20593200.0,2024,Macomb,51,0
