Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2090.0,3797.0,2480.0,1317.0,612426.0,2024,Mason,54,0
2116.0,3850.0,2509.0,1341.0,628633.0,2024,Mason,54,0
2141.0,3914.0,2549.0,1365.0,635350.0,2024,Mason,54,0
2174.0,3973.0,2589.0,1384.0,634803.0,2024,Mason,54,0
2178.0,3989.0,2590.0,1399.0,634077.0,2024,Mason,54,0
2177.0,3974.0,2588.0,1386.0,636001.0,2024,Mason,54,0
2163.0,3893.0,2567.0,1326.0,636049.0,2024,Mason,54,0
2149.0,3869.0,2548.0,1321.0,630743.0,2024,Mason,54,0
2144.0,3876.0,2547.0,1329.0,627592.0,2024,Mason,54,0
2119.0,3880.0,2522.0,1358.0,629035.0,2024,Mason,54,0
2101.0,3839.0,2498.0,1341.0,616397.0,2024,Mason,54,0
2114.0,3844.0,2528.0,1316.0,619750.0,2024,Mason,54,0
2139.0,3892.0,2543.0,1349.0,628405.0,2024,Mason,54,0
