Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
53531.0,91182.0,58636.0,32546.0,16866763.0,2024,Oakland,64,0
53471.0,91007.0,58586.0,32421.0,16850320.0,2024,Oakland,64,0
53464.0,90993.0,58561.0,32432.0,16920632.0,2024,Oakland,64,0
53655.0,91405.0,58906.0,32499.0,16541933.0,2024,Oakland,64,0
53848.0,91665.0,59107.0,32558.0,16435258.0,2024,Oakland,64,0
53678.0,91349.0,58928.0,32421.0,16435690.0,2024,Oakland,64,0
53639.0,91202.0,58900.0,32302.0,16413241.0,2024,Oakland,64,0
53355.0,90763.0,58543.0,32220.0,16528350.0,2024,Oakland,64,0
53475.0,91099.0,58603.0,32496.0,16715313.0,2024,Oakland,64,0
53505.0,91125.0,58632.0,32493.0,17044674.0,2024,Oakland,64,0
54021.0,92042.0,59236.0,32806.0,17095169.0,2024,Oakland,64,0
54310.0,92348.0,59580.0,32768.0,17395653.0,2024,Oakland,64,0
53663.0,91348.0,58852.0,32497.0,16770250.0,2024,Oakland,64,0
