Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
858.0,1520.0,1064.0,456.0,243657.0,2024,Oscoda,69,0
855.0,1515.0,1057.0,458.0,245112.0,2024,Oscoda,69,0
853.0,1510.0,1053.0,457.0,245783.0,2024,Oscoda,69,0
868.0,1525.0,1067.0,458.0,240769.0,2024,Oscoda,69,0
872.0,1551.0,1080.0,471.0,242966.0,2024,Oscoda,69,0
880.0,1560.0,1088.0,472.0,246547.0,2024,Oscoda,69,0
873.0,1502.0,1062.0,440.0,240617.0,2024,Oscoda,69,0
869.0,1477.0,1053.0,424.0,236103.0,2024,Oscoda,69,0
872.0,1484.0,1066.0,418.0,233961.0,2024,Oscoda,69,0
863.0,1469.0,1055.0,414.0,235416.0,2024,Oscoda,69,0
851.0,1442.0,1041.0,401.0,229229.0,2024,Oscoda,69,0
861.0,1475.0,1054.0,421.0,230539.0,2024,Oscoda,69,0
865.0,1503.0,1062.0,441.0,239225.0,2024,Oscoda,69,0
