Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2491.0,4216.0,2970.0,1246.0,699136.0,2024,Roscommon,73,0
2477.0,4158.0,2937.0,1221.0,703205.0,2024,Roscommon,73,0
2510.0,4230.0,3000.0,1230.0,708730.0,2024,Roscommon,73,0
2503.0,4229.0,3004.0,1225.0,697275.0,2024,Roscommon,73,0
2526.0,4273.0,3032.0,1241.0,697678.0,2024,Roscommon,73,0
2523.0,4273.0,3026.0,1247.0,698933.0,2024,Roscommon,73,0
2509.0,4207.0,3004.0,1203.0,702298.0,2024,Roscommon,73,0
2499.0,4158.0,2978.0,1180.0,697899.0,2024,Roscommon,73,0
2485.0,4152.0,2964.0,1188.0,701729.0,2024,Roscommon,73,0
2486.0,4148.0,2958.0,1190.0,706129.0,2024,Roscommon,73,0
2516.0,4140.0,2971.0,1169.0,702923.0,2024,Roscommon,73,0
2504.0,4178.0,2971.0,1207.0,708409.0,2024,Roscommon,73,0
2502.0,4197.0,2985.0,1212.0,702029.0,2024,Roscommon,73,0
