Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
20444.0,38188.0,22562.0,15626.0,6772309.0,2024,Saginaw,74,0
20193.0,37644.0,22256.0,15388.0,6776644.0,2024,Saginaw,74,0
20187.0,37534.0,22221.0,15313.0,6794285.0,2024,Saginaw,74,0
20120.0,37410.0,22141.0,15269.0,6662684.0,2024,Saginaw,74,0
20212.0,37562.0,22255.0,15307.0,6657297.0,2024,Saginaw,74,0
20124.0,37243.0,22156.0,15087.0,6643767.0,2024,Saginaw,74,0
20031.0,37029.0,22047.0,14982.0,6605682.0,2024,Saginaw,74,0
19958.0,36934.0,21967.0,14967.0,6609760.0,2024,Saginaw,74,0
20054.0,37196.0,22063.0,15133.0,6626660.0,2024,Saginaw,74,0
20028.0,37125.0,22015.0,15110.0,6677480.0,2024,Saginaw,74,0
20097.0,37219.0,22074.0,15145.0,6639063.0,2024,Saginaw,74,0
20230.0,37467.0,22250.0,15217.0,6720275.0,2024,Saginaw,74,0
20140.0,37379.0,22167.0,15212.0,6682159.0,2024,Saginaw,74,0
