Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2922.0,5562.0,3451.0,2111.0,932493.0,2024,Wexford,84,0
2919.0,5536.0,3435.0,2101.0,941418.0,2024,Wexford,84,0
2952.0,5539.0,3456.0,2083.0,932173.0,2024,Wexford,84,0
2947.0,5544.0,3459.0,2085.0,913906.0,2024,Wexford,84,0
2981.0,5591.0,3494.0,2097.0,918826.0,2024,Wexford,84,0
2988.0,5604.0,3523.0,2081.0,928402.0,2024,Wexford,84,0
2958.0,5558.0,3496.0,2062.0,920216.0,2024,Wexford,84,0
2950.0,5557.0,3483.0,2074.0,921729.0,2024,Wexford,84,0
2967.0,5592.0,3504.0,2088.0,920492.0,2024,Wexford,84,0
2955.0,5516.0,3477.0,2039.0,918998.0,2024,Wexford,84,0
2958.0,5576.0,3471.0,2105.0,912269.0,2024,Wexford,84,0
2965.0,5585.0,3463.0,2122.0,919301.0,2024,Wexford,84,0
2955.0,5563.0,3476.0,2087.0,923352.0,2024,Wexford,84,0
