Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
12134.0,23684.0,13246.0,10438.0,2706254.0,2017,Berrien,12,0
11935.0,23278.0,13086.0,10192.0,2660760.0,2017,Berrien,12,0
11881.0,23142.0,13037.0,10105.0,2657455.0,2017,Berrien,12,0
11874.0,23057.0,13037.0,10020.0,2650345.0,2017,Berrien,12,0
11847.0,22989.0,12992.0,9997.0,2657924.0,2017,Berrien,12,0
11722.0,22706.0,12855.0,9851.0,2627765.0,2017,Berrien,12,0
11580.0,22452.0,12674.0,9778.0,2594714.0,2017,Berrien,12,0
11491.0,22180.0,12531.0,9649.0,2590218.0,2017,Berrien,12,0
11506.0,22288.0,12508.0,9780.0,2565747.0,2017,Berrien,12,0
11474.0,22209.0,12430.0,9779.0,2553960.0,2017,Berrien,12,0
11449.0,22108.0,12397.0,9711.0,2628058.0,2017,Berrien,12,0
11365.0,21912.0,12299.0,9613.0,2620540.0,2017,Berrien,12,0
11688.0,22667.0,12758.0,9909.0,2626145.0,2017,Berrien,12,0
