Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2022.0,3841.0,2483.0,1358.0,395908.0,2017,Houghton,32,0
2028.0,3847.0,2493.0,1354.0,391953.0,2017,Houghton,32,0
2017.0,3828.0,2481.0,1347.0,395617.0,2017,Houghton,32,0
2007.0,3798.0,2474.0,1324.0,394057.0,2017,Houghton,32,0
1995.0,3755.0,2446.0,1309.0,393343.0,2017,Houghton,32,0
1965.0,3704.0,2416.0,1288.0,391960.0,2017,Houghton,32,0
1956.0,3690.0,2395.0,1295.0,387178.0,2017,Houghton,32,0
1955.0,3705.0,2388.0,1317.0,393827.0,2017,Houghton,32,0
1966.0,3723.0,2400.0,1323.0,392609.0,2017,Houghton,32,0
1943.0,3699.0,2376.0,1323.0,390802.0,2017,Houghton,32,0
1917.0,3637.0,2331.0,1306.0,403756.0,2017,Houghton,32,0
1906.0,3577.0,2309.0,1268.0,390443.0,2017,Houghton,32,0
1973.0,3734.0,2416.0,1318.0,393454.0,2017,Houghton,32,0
