Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
17148.0,32172.0,18806.0,13366.0,3789185.0,2017,Kalamazoo,40,0
16952.0,31815.0,18595.0,13220.0,3729788.0,2017,Kalamazoo,40,0
16838.0,31526.0,18447.0,13079.0,3685735.0,2017,Kalamazoo,40,0
16798.0,31415.0,18390.0,13025.0,3665243.0,2017,Kalamazoo,40,0
16741.0,31173.0,18280.0,12893.0,3693667.0,2017,Kalamazoo,40,0
16616.0,30829.0,18150.0,12679.0,3638608.0,2017,Kalamazoo,40,0
16485.0,30452.0,17963.0,12489.0,3589313.0,2017,Kalamazoo,40,0
16339.0,30161.0,17802.0,12359.0,3564969.0,2017,Kalamazoo,40,0
16259.0,30085.0,17708.0,12377.0,3521960.0,2017,Kalamazoo,40,0
16147.0,29843.0,17577.0,12266.0,3495915.0,2017,Kalamazoo,40,0
16218.0,29916.0,17639.0,12277.0,3663444.0,2017,Kalamazoo,40,0
16138.0,29766.0,17523.0,12243.0,3675607.0,2017,Kalamazoo,40,0
16557.0,30763.0,18073.0,12689.0,3642786.0,2017,Kalamazoo,40,0
