Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
848.0,1493.0,1006.0,487.0,151367.0,2017,Presque Isle,72,0
847.0,1491.0,1002.0,489.0,154608.0,2017,Presque Isle,72,0
843.0,1481.0,1003.0,478.0,148966.0,2017,Presque Isle,72,0
829.0,1471.0,997.0,474.0,149891.0,2017,Presque Isle,72,0
829.0,1472.0,988.0,484.0,152813.0,2017,Presque Isle,72,0
824.0,1453.0,985.0,468.0,151951.0,2017,Presque Isle,72,0
817.0,1453.0,978.0,475.0,153030.0,2017,Presque Isle,72,0
810.0,1452.0,966.0,486.0,154648.0,2017,Presque Isle,72,0
805.0,1448.0,960.0,488.0,149539.0,2017,Presque Isle,72,0
796.0,1432.0,952.0,480.0,146371.0,2017,Presque Isle,72,0
792.0,1427.0,946.0,481.0,152101.0,2017,Presque Isle,72,0
799.0,1429.0,953.0,476.0,153574.0,2017,Presque Isle,72,0
820.0,1459.0,978.0,481.0,151572.0,2017,Presque Isle,72,0
