Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
8496.0,15268.0,9704.0,5564.0,1793151.0,2018,Bay,10,0
8472.0,15216.0,9676.0,5540.0,1775921.0,2018,Bay,10,0
8443.0,15152.0,9667.0,5485.0,1778396.0,2018,Bay,10,0
8470.0,15182.0,9674.0,5508.0,1753603.0,2018,Bay,10,0
8442.0,15084.0,9630.0,5454.0,1755508.0,2018,Bay,10,0
8415.0,15007.0,9606.0,5401.0,1747981.0,2018,Bay,10,0
8370.0,14871.0,9529.0,5342.0,1724674.0,2018,Bay,10,0
8371.0,14847.0,9507.0,5340.0,1725819.0,2018,Bay,10,0
8368.0,14812.0,9503.0,5309.0,1703345.0,2018,Bay,10,0
8349.0,14731.0,9442.0,5289.0,1704668.0,2018,Bay,10,0
8316.0,14651.0,9404.0,5247.0,1697505.0,2018,Bay,10,0
8232.0,14498.0,9297.0,5201.0,1651793.0,2018,Bay,10,0
8395.0,14943.0,9553.0,5390.0,1734364.0,2018,Bay,10,0
