Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
790.0,1479.0,967.0,512.0,161384.0,2018,Benzie,11,0
786.0,1486.0,971.0,515.0,160285.0,2018,Benzie,11,0
790.0,1503.0,983.0,520.0,163619.0,2018,Benzie,11,0
813.0,1563.0,1018.0,545.0,168200.0,2018,Benzie,11,0
833.0,1574.0,1035.0,539.0,174448.0,2018,Benzie,11,0
824.0,1560.0,1026.0,534.0,170470.0,2018,Benzie,11,0
830.0,1577.0,1033.0,544.0,170134.0,2018,Benzie,11,0
815.0,1538.0,1007.0,531.0,169631.0,2018,Benzie,11,0
814.0,1536.0,1004.0,532.0,167204.0,2018,Benzie,11,0
819.0,1539.0,1009.0,530.0,167961.0,2018,Benzie,11,0
795.0,1496.0,988.0,508.0,156358.0,2018,Benzie,11,0
786.0,1474.0,972.0,502.0,153669.0,2018,Benzie,11,0
808.0,1527.0,1001.0,526.0,165280.0,2018,Benzie,11,0
