Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
33031.0,65642.0,35364.0,30278.0,7620933.0,2018,Kent,42,0
32591.0,65043.0,34954.0,30089.0,7453268.0,2018,Kent,42,0
32184.0,64195.0,34551.0,29644.0,7418286.0,2018,Kent,42,0
32295.0,64178.0,34614.0,29564.0,7319025.0,2018,Kent,42,0
31928.0,63590.0,34158.0,29432.0,7298867.0,2018,Kent,42,0
31684.0,63033.0,33894.0,29139.0,7206092.0,2018,Kent,42,0
31443.0,62400.0,33592.0,28808.0,7165262.0,2018,Kent,42,0
31386.0,62274.0,33538.0,28736.0,7102913.0,2018,Kent,42,0
31106.0,61915.0,33236.0,28679.0,7031325.0,2018,Kent,42,0
31273.0,62187.0,33442.0,28745.0,7088243.0,2018,Kent,42,0
31017.0,61517.0,33098.0,28419.0,7042523.0,2018,Kent,42,0
30760.0,60915.0,32788.0,28127.0,6901541.0,2018,Kent,42,0
31725.0,63074.0,33936.0,29138.0,7220690.0,2018,Kent,42,0
