Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
4168.0,7426.0,4681.0,2745.0,909981.0,2018,Livingston,48,0
4138.0,7360.0,4648.0,2712.0,883750.0,2018,Livingston,48,0
4087.0,7307.0,4604.0,2703.0,885088.0,2018,Livingston,48,0
4078.0,7332.0,4612.0,2720.0,878593.0,2018,Livingston,48,0
4050.0,7319.0,4583.0,2736.0,884433.0,2018,Livingston,48,0
4037.0,7280.0,4555.0,2725.0,865437.0,2018,Livingston,48,0
3887.0,7003.0,4365.0,2638.0,824014.0,2018,Livingston,48,0
3803.0,6783.0,4244.0,2539.0,802329.0,2018,Livingston,48,0
3707.0,6659.0,4122.0,2537.0,772735.0,2018,Livingston,48,0
3676.0,6546.0,4079.0,2467.0,774602.0,2018,Livingston,48,0
3662.0,6473.0,4030.0,2443.0,776715.0,2018,Livingston,48,0
3647.0,6475.0,4020.0,2455.0,766941.0,2018,Livingston,48,0
3912.0,6997.0,4379.0,2618.0,835385.0,2018,Livingston,48,0
