Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3525.0,6317.0,4107.0,2210.0,753158.0,2018,Marquette,53,0
3503.0,6303.0,4086.0,2217.0,740442.0,2018,Marquette,53,0
3475.0,6243.0,4062.0,2181.0,739557.0,2018,Marquette,53,0
3472.0,6268.0,4071.0,2197.0,728949.0,2018,Marquette,53,0
3500.0,6303.0,4092.0,2211.0,732561.0,2018,Marquette,53,0
3516.0,6315.0,4113.0,2202.0,720685.0,2018,Marquette,53,0
3531.0,6358.0,4134.0,2224.0,733720.0,2018,Marquette,53,0
3510.0,6270.0,4096.0,2174.0,723691.0,2018,Marquette,53,0
3494.0,6291.0,4085.0,2206.0,717783.0,2018,Marquette,53,0
3447.0,6194.0,4024.0,2170.0,707622.0,2018,Marquette,53,0
3412.0,6065.0,3962.0,2103.0,696115.0,2018,Marquette,53,0
3333.0,5916.0,3860.0,2056.0,672700.0,2018,Marquette,53,0
3477.0,6237.0,4058.0,2179.0,722249.0,2018,Marquette,53,0
