Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1828.0,3895.0,2117.0,1778.0,426328.0,2018,Oceana,65,0
1811.0,3806.0,2097.0,1709.0,414939.0,2018,Oceana,65,0
1819.0,3799.0,2128.0,1671.0,423439.0,2018,Oceana,65,0
1817.0,3836.0,2127.0,1709.0,419366.0,2018,Oceana,65,0
1823.0,3837.0,2134.0,1703.0,425263.0,2018,Oceana,65,0
1808.0,3780.0,2110.0,1670.0,409168.0,2018,Oceana,65,0
1789.0,3769.0,2098.0,1671.0,410384.0,2018,Oceana,65,0
1824.0,3808.0,2116.0,1692.0,423445.0,2018,Oceana,65,0
1803.0,3766.0,2092.0,1674.0,409789.0,2018,Oceana,65,0
1816.0,3825.0,2109.0,1716.0,423178.0,2018,Oceana,65,0
1793.0,3784.0,2069.0,1715.0,407547.0,2018,Oceana,65,0
1751.0,3646.0,2023.0,1623.0,386091.0,2018,Oceana,65,0
1807.0,3796.0,2102.0,1694.0,414911.0,2018,Oceana,65,0
