Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
42700.0,75249.0,47046.0,28203.0,9186575.0,2019,Oakland,64,0
42280.0,74317.0,46565.0,27752.0,9004293.0,2019,Oakland,64,0
42147.0,73849.0,46370.0,27479.0,8949911.0,2019,Oakland,64,0
42158.0,73702.0,46449.0,27253.0,8738720.0,2019,Oakland,64,0
42161.0,73636.0,46442.0,27194.0,8772290.0,2019,Oakland,64,0
42010.0,73346.0,46223.0,27123.0,8707545.0,2019,Oakland,64,0
41830.0,72917.0,45996.0,26921.0,8681994.0,2019,Oakland,64,0
41747.0,72767.0,45901.0,26866.0,8629108.0,2019,Oakland,64,0
41795.0,72837.0,45912.0,26925.0,8636005.0,2019,Oakland,64,0
41806.0,72866.0,45872.0,26994.0,8772959.0,2019,Oakland,64,0
41767.0,72535.0,45802.0,26733.0,8743904.0,2019,Oakland,64,0
41680.0,72305.0,45661.0,26644.0,8675886.0,2019,Oakland,64,0
42007.0,73361.0,46187.0,27174.0,8791599.0,2019,Oakland,64,0
