Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1075.0,1855.0,1273.0,582.0,191287.0,2020,Arenac,7,0
1072.0,1886.0,1279.0,607.0,191011.0,2020,Arenac,7,0
1084.0,1940.0,1307.0,633.0,193152.0,2020,Arenac,7,0
1110.0,1992.0,1344.0,648.0,198226.0,2020,Arenac,7,0
1121.0,1999.0,1349.0,650.0,199677.0,2020,Arenac,7,0
1182.0,2136.0,1432.0,704.0,360283.0,2020,Arenac,7,0
1308.0,2420.0,1607.0,813.0,384221.0,2020,Arenac,7,0
1314.0,2411.0,1609.0,802.0,416733.0,2020,Arenac,7,0
1213.0,2102.0,1454.0,648.0,370331.0,2020,Arenac,7,0
1152.0,1959.0,1368.0,591.0,340445.0,2020,Arenac,7,0
1139.0,1935.0,1351.0,584.0,335677.0,2020,Arenac,7,0
1155.0,1986.0,1372.0,614.0,341421.0,2020,Arenac,7,0
1160.0,2052.0,1395.0,656.0,293539.0,2020,Arenac,7,0
