Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2952.0,5364.0,3589.0,1775.0,596289.0,2020,Clare,19,0
2946.0,5356.0,3566.0,1790.0,583633.0,2020,Clare,19,0
2966.0,5380.0,3592.0,1788.0,584004.0,2020,Clare,19,0
3032.0,5576.0,3711.0,1865.0,589707.0,2020,Clare,19,0
3071.0,5618.0,3766.0,1852.0,613123.0,2020,Clare,19,0
3225.0,5941.0,3964.0,1977.0,994275.0,2020,Clare,19,0
3539.0,6689.0,4420.0,2269.0,1090127.0,2020,Clare,19,0
3571.0,6724.0,4462.0,2262.0,1160354.0,2020,Clare,19,0
3327.0,5988.0,4064.0,1924.0,1038338.0,2020,Clare,19,0
3196.0,5591.0,3852.0,1739.0,979915.0,2020,Clare,19,0
3191.0,5568.0,3840.0,1728.0,958211.0,2020,Clare,19,0
3198.0,5612.0,3847.0,1765.0,964732.0,2020,Clare,19,0
3185.0,5784.0,3889.0,1895.0,846059.0,2020,Clare,19,0
