Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
38039.0,70744.0,41766.0,28978.0,8713019.0,2020,Genesee,26,0
37549.0,70111.0,41198.0,28913.0,8607097.0,2020,Genesee,26,0
38092.0,71037.0,41832.0,29205.0,8707184.0,2020,Genesee,26,0
39088.0,72738.0,43071.0,29667.0,8836680.0,2020,Genesee,26,0
39358.0,72799.0,43338.0,29461.0,8898339.0,2020,Genesee,26,0
41328.0,76254.0,45678.0,30576.0,12694810.0,2020,Genesee,26,0
48606.0,90487.0,54336.0,36151.0,14340399.0,2020,Genesee,26,0
49351.0,91668.0,55214.0,36454.0,15829666.0,2020,Genesee,26,0
44725.0,80360.0,49326.0,31034.0,13975024.0,2020,Genesee,26,0
41663.0,73014.0,45592.0,27422.0,12764868.0,2020,Genesee,26,0
40094.0,70031.0,43763.0,26268.0,12052070.0,2020,Genesee,26,0
40301.0,71321.0,44005.0,27316.0,12120397.0,2020,Genesee,26,0
41516.0,75880.0,45760.0,30120.0,11461629.0,2020,Genesee,26,0
