Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1451.0,2591.0,1714.0,877.0,269196.0,2020,Manistee,52,0
1412.0,2524.0,1668.0,856.0,256869.0,2020,Manistee,52,0
1469.0,2623.0,1742.0,881.0,266516.0,2020,Manistee,52,0
1495.0,2681.0,1777.0,904.0,272629.0,2020,Manistee,52,0
1513.0,2708.0,1795.0,913.0,277824.0,2020,Manistee,52,0
1611.0,2953.0,1935.0,1018.0,482115.0,2020,Manistee,52,0
1834.0,3445.0,2229.0,1216.0,534668.0,2020,Manistee,52,0
1870.0,3474.0,2275.0,1199.0,596035.0,2020,Manistee,52,0
1708.0,3030.0,2033.0,997.0,526016.0,2020,Manistee,52,0
1593.0,2722.0,1874.0,848.0,480355.0,2020,Manistee,52,0
1539.0,2643.0,1806.0,837.0,456664.0,2020,Manistee,52,0
1527.0,2626.0,1791.0,835.0,448376.0,2020,Manistee,52,0
1585.0,2835.0,1887.0,948.0,405605.0,2020,Manistee,52,0
