Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2378.0,4659.0,2819.0,1840.0,812372.0,2021,Branch,13,0
2388.0,4763.0,2863.0,1900.0,838321.0,2021,Branch,13,0
2371.0,4730.0,2844.0,1886.0,829320.0,2021,Branch,13,0
2386.0,4772.0,2859.0,1913.0,965757.0,2021,Branch,13,0
2417.0,4869.0,2897.0,1972.0,982746.0,2021,Branch,13,0
2419.0,4884.0,2904.0,1980.0,986668.0,2021,Branch,13,0
2350.0,4796.0,2840.0,1956.0,967472.0,2021,Branch,13,0
2345.0,4848.0,2838.0,2010.0,1049303.0,2021,Branch,13,0
2352.0,4887.0,2848.0,2039.0,938319.0,2021,Branch,13,0
2315.0,4805.0,2809.0,1996.0,1032361.0,2021,Branch,13,0
2331.0,4808.0,2817.0,1991.0,1037553.0,2021,Branch,13,0
2357.0,4875.0,2850.0,2025.0,1064617.0,2021,Branch,13,0
2367.0,4808.0,2849.0,1959.0,958734.0,2021,Branch,13,0
