Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
11104.0,20254.0,12451.0,7803.0,3584518.0,2021,Calhoun,14,0
11267.0,20672.0,12632.0,8040.0,3686383.0,2021,Calhoun,14,0
11453.0,21091.0,12878.0,8213.0,3718864.0,2021,Calhoun,14,0
11466.0,21149.0,12866.0,8283.0,4351082.0,2021,Calhoun,14,0
11606.0,21585.0,13074.0,8511.0,4439136.0,2021,Calhoun,14,0
11576.0,21526.0,13048.0,8478.0,4428587.0,2021,Calhoun,14,0
11297.0,20979.0,12737.0,8242.0,4325379.0,2021,Calhoun,14,0
11252.0,20913.0,12697.0,8216.0,4724107.0,2021,Calhoun,14,0
11352.0,21162.0,12823.0,8339.0,4239075.0,2021,Calhoun,14,0
11432.0,21335.0,12882.0,8453.0,4763947.0,2021,Calhoun,14,0
11520.0,21529.0,12990.0,8539.0,4815284.0,2021,Calhoun,14,0
11612.0,21793.0,13100.0,8693.0,4903501.0,2021,Calhoun,14,0
11411.0,21166.0,12848.0,8318.0,4331655.0,2021,Calhoun,14,0
