Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
918.0,1542.0,1053.0,489.0,281101.0,2021,Charlevoix,16,0
932.0,1617.0,1069.0,548.0,289259.0,2021,Charlevoix,16,0
996.0,1781.0,1160.0,621.0,309345.0,2021,Charlevoix,16,0
990.0,1807.0,1165.0,642.0,371697.0,2021,Charlevoix,16,0
1011.0,1849.0,1191.0,658.0,380496.0,2021,Charlevoix,16,0
1005.0,1824.0,1186.0,638.0,380205.0,2021,Charlevoix,16,0
971.0,1763.0,1143.0,620.0,365017.0,2021,Charlevoix,16,0
939.0,1715.0,1108.0,607.0,387657.0,2021,Charlevoix,16,0
929.0,1709.0,1100.0,609.0,332016.0,2021,Charlevoix,16,0
907.0,1646.0,1074.0,572.0,370663.0,2021,Charlevoix,16,0
918.0,1670.0,1084.0,586.0,372332.0,2021,Charlevoix,16,0
920.0,1672.0,1088.0,584.0,373872.0,2021,Charlevoix,16,0
953.0,1716.0,1118.0,598.0,351138.0,2021,Charlevoix,16,0
