Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
785.0,1377.0,922.0,455.0,248482.0,2021,Iron,37,0
780.0,1376.0,917.0,459.0,245761.0,2021,Iron,37,0
819.0,1458.0,964.0,494.0,253799.0,2021,Iron,37,0
826.0,1489.0,982.0,507.0,307415.0,2021,Iron,37,0
833.0,1503.0,995.0,508.0,311938.0,2021,Iron,37,0
821.0,1484.0,983.0,501.0,310759.0,2021,Iron,37,0
797.0,1436.0,953.0,483.0,299192.0,2021,Iron,37,0
796.0,1421.0,949.0,472.0,320589.0,2021,Iron,37,0
799.0,1434.0,945.0,489.0,286328.0,2021,Iron,37,0
813.0,1477.0,967.0,510.0,329624.0,2021,Iron,37,0
823.0,1503.0,986.0,517.0,331309.0,2021,Iron,37,0
834.0,1535.0,1003.0,532.0,343606.0,2021,Iron,37,0
811.0,1458.0,964.0,494.0,299067.0,2021,Iron,37,0
