Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3556.0,6268.0,4057.0,2211.0,1120021.0,2021,Isabella,38,0
3644.0,6486.0,4187.0,2299.0,1165482.0,2021,Isabella,38,0
3662.0,6544.0,4223.0,2321.0,1164324.0,2021,Isabella,38,0
3684.0,6571.0,4259.0,2312.0,1359871.0,2021,Isabella,38,0
3770.0,6743.0,4366.0,2377.0,1394910.0,2021,Isabella,38,0
3793.0,6798.0,4381.0,2417.0,1404969.0,2021,Isabella,38,0
3729.0,6669.0,4311.0,2358.0,1381046.0,2021,Isabella,38,0
3734.0,6668.0,4304.0,2364.0,1516398.0,2021,Isabella,38,0
3750.0,6713.0,4334.0,2379.0,1358869.0,2021,Isabella,38,0
3750.0,6718.0,4331.0,2387.0,1525201.0,2021,Isabella,38,0
3820.0,6905.0,4435.0,2470.0,1556677.0,2021,Isabella,38,0
3868.0,6955.0,4467.0,2488.0,1576526.0,2021,Isabella,38,0
3730.0,6670.0,4305.0,2365.0,1377024.0,2021,Isabella,38,0
