Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1166.0,2061.0,1408.0,653.0,360566.0,2021,Kalkaska,41,0
1160.0,2059.0,1393.0,666.0,368437.0,2021,Kalkaska,41,0
1173.0,2109.0,1413.0,696.0,369497.0,2021,Kalkaska,41,0
1207.0,2216.0,1475.0,741.0,441114.0,2021,Kalkaska,41,0
1210.0,2214.0,1477.0,737.0,460632.0,2021,Kalkaska,41,0
1186.0,2164.0,1447.0,717.0,446913.0,2021,Kalkaska,41,0
1140.0,2066.0,1396.0,670.0,425447.0,2021,Kalkaska,41,0
1135.0,2021.0,1376.0,645.0,455039.0,2021,Kalkaska,41,0
1127.0,1989.0,1362.0,627.0,380769.0,2021,Kalkaska,41,0
1129.0,1995.0,1369.0,626.0,446069.0,2021,Kalkaska,41,0
1141.0,2026.0,1381.0,645.0,452207.0,2021,Kalkaska,41,0
1140.0,2029.0,1389.0,640.0,453299.0,2021,Kalkaska,41,0
1160.0,2079.0,1407.0,672.0,421666.0,2021,Kalkaska,41,0
