Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
423.0,756.0,499.0,257.0,136032.0,2021,Luce,49,0
422.0,758.0,498.0,260.0,135843.0,2021,Luce,49,0
424.0,766.0,497.0,269.0,136893.0,2021,Luce,49,0
430.0,783.0,505.0,278.0,160084.0,2021,Luce,49,0
437.0,820.0,524.0,296.0,168878.0,2021,Luce,49,0
437.0,811.0,523.0,288.0,168057.0,2021,Luce,49,0
419.0,771.0,498.0,273.0,162652.0,2021,Luce,49,0
410.0,751.0,487.0,264.0,169027.0,2021,Luce,49,0
421.0,782.0,503.0,279.0,151430.0,2021,Luce,49,0
420.0,787.0,506.0,281.0,174398.0,2021,Luce,49,0
413.0,768.0,499.0,269.0,170460.0,2021,Luce,49,0
422.0,799.0,512.0,287.0,175068.0,2021,Luce,49,0
423.0,779.0,504.0,275.0,159069.0,2021,Luce,49,0
