Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
437.0,725.0,500.0,225.0,126146.0,2021,Mackinac,50,0
445.0,749.0,521.0,228.0,134642.0,2021,Mackinac,50,0
468.0,832.0,559.0,273.0,143494.0,2021,Mackinac,50,0
479.0,853.0,573.0,280.0,174980.0,2021,Mackinac,50,0
499.0,906.0,602.0,304.0,184684.0,2021,Mackinac,50,0
477.0,864.0,579.0,285.0,177274.0,2021,Mackinac,50,0
466.0,833.0,557.0,276.0,171975.0,2021,Mackinac,50,0
456.0,798.0,539.0,259.0,178904.0,2021,Mackinac,50,0
448.0,779.0,532.0,247.0,154293.0,2021,Mackinac,50,0
450.0,771.0,532.0,239.0,170977.0,2021,Mackinac,50,0
449.0,755.0,525.0,230.0,171941.0,2021,Mackinac,50,0
459.0,783.0,543.0,240.0,178685.0,2021,Mackinac,50,0
461.0,804.0,547.0,257.0,164000.0,2021,Mackinac,50,0
