Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2004.0,3524.0,2403.0,1121.0,628081.0,2021,Ogemaw,66,0
2031.0,3585.0,2441.0,1144.0,641101.0,2021,Ogemaw,66,0
2068.0,3653.0,2485.0,1168.0,648080.0,2021,Ogemaw,66,0
2095.0,3762.0,2542.0,1220.0,779751.0,2021,Ogemaw,66,0
2112.0,3785.0,2561.0,1224.0,790726.0,2021,Ogemaw,66,0
2100.0,3738.0,2530.0,1208.0,778461.0,2021,Ogemaw,66,0
2039.0,3573.0,2448.0,1125.0,743601.0,2021,Ogemaw,66,0
2020.0,3528.0,2431.0,1097.0,798167.0,2021,Ogemaw,66,0
2000.0,3487.0,2408.0,1079.0,691006.0,2021,Ogemaw,66,0
1986.0,3479.0,2404.0,1075.0,778583.0,2021,Ogemaw,66,0
1993.0,3496.0,2406.0,1090.0,782999.0,2021,Ogemaw,66,0
1990.0,3507.0,2402.0,1105.0,794147.0,2021,Ogemaw,66,0
2037.0,3593.0,2455.0,1138.0,737892.0,2021,Ogemaw,66,0
