Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
7174.0,13787.0,7971.0,5816.0,2390753.0,2021,Ottawa,71,0
7271.0,13995.0,8096.0,5899.0,2468037.0,2021,Ottawa,71,0
7470.0,14447.0,8361.0,6086.0,2512172.0,2021,Ottawa,71,0
7548.0,14677.0,8502.0,6175.0,2977019.0,2021,Ottawa,71,0
7680.0,14927.0,8644.0,6283.0,3039039.0,2021,Ottawa,71,0
7654.0,14871.0,8627.0,6244.0,3032567.0,2021,Ottawa,71,0
7504.0,14469.0,8442.0,6027.0,2964016.0,2021,Ottawa,71,0
7461.0,14380.0,8400.0,5980.0,3174727.0,2021,Ottawa,71,0
7558.0,14626.0,8531.0,6095.0,2836402.0,2021,Ottawa,71,0
7576.0,14725.0,8539.0,6186.0,3204026.0,2021,Ottawa,71,0
7613.0,14861.0,8587.0,6274.0,3237344.0,2021,Ottawa,71,0
7680.0,15047.0,8674.0,6373.0,3300271.0,2021,Ottawa,71,0
7516.0,14568.0,8448.0,6120.0,2928031.0,2021,Ottawa,71,0
