Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
18310.0,33521.0,19793.0,13728.0,5948379.0,2021,Saginaw,74,0
18481.0,34073.0,20032.0,14041.0,6060075.0,2021,Saginaw,74,0
18676.0,34643.0,20326.0,14317.0,6109171.0,2021,Saginaw,74,0
18867.0,35046.0,20547.0,14499.0,7172385.0,2021,Saginaw,74,0
19098.0,35410.0,20788.0,14622.0,7277867.0,2021,Saginaw,74,0
18983.0,35278.0,20653.0,14625.0,7236255.0,2021,Saginaw,74,0
18537.0,34477.0,20178.0,14299.0,7097526.0,2021,Saginaw,74,0
18376.0,34137.0,20001.0,14136.0,7689000.0,2021,Saginaw,74,0
18408.0,34256.0,20050.0,14206.0,6912488.0,2021,Saginaw,74,0
18437.0,34380.0,20062.0,14318.0,7660656.0,2021,Saginaw,74,0
18525.0,34495.0,20145.0,14350.0,7656054.0,2021,Saginaw,74,0
18610.0,34628.0,20219.0,14409.0,7759263.0,2021,Saginaw,74,0
18609.0,34529.0,20233.0,14296.0,7048260.0,2021,Saginaw,74,0
