Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
712.0,1240.0,876.0,364.0,301195.0,2022,Alcona,2,0
708.0,1251.0,875.0,376.0,299811.0,2022,Alcona,2,0
715.0,1254.0,882.0,372.0,309983.0,2022,Alcona,2,0
739.0,1316.0,920.0,396.0,319229.0,2022,Alcona,2,0
741.0,1317.0,921.0,396.0,317443.0,2022,Alcona,2,0
756.0,1357.0,947.0,410.0,326535.0,2022,Alcona,2,0
770.0,1399.0,967.0,432.0,326300.0,2022,Alcona,2,0
789.0,1427.0,990.0,437.0,327653.0,2022,Alcona,2,0
762.0,1382.0,963.0,419.0,330658.0,2022,Alcona,2,0
756.0,1373.0,954.0,419.0,325413.0,2022,Alcona,2,0
768.0,1386.0,967.0,419.0,325906.0,2022,Alcona,2,0
780.0,1412.0,980.0,432.0,338388.0,2022,Alcona,2,0
750.0,1343.0,937.0,406.0,320710.0,2022,Alcona,2,0
409.0,712.0,492.0,220.0,171451.0,2022,Alger,3,0
410.0,716.0,493.0,223.0,169845.0,2022,Alger,3,0
414.0,736.0,500.0,236.0,176512.0,2022,Alger,3,0
421.0,750.0,512.0,238.0,178462.0,2022,Alger,3,0
420.0,740.0,509.0,231.0,178229.0,2022,Alger,3,0
428.0,760.0,519.0,241.0,184926.0,2022,Alger,3,0
450.0,808.0,543.0,265.0,186602.0,2022,Alger,3,0
447.0,800.0,538.0,262.0,182369.0,2022,Alger,3,0
428.0,765.0,515.0,250.0,183329.0,2022,Alger,3,0
422.0,760.0,509.0,251.0,183217.0,2022,Alger,3,0
413.0,736.0,497.0,239.0,170239.0,2022,Alger,3,0
407.0,730.0,491.0,239.0,170503.0,2022,Alger,3,0
422.0,751.0,510.0,241.0,177974.0,2022,Alger,3,0
4817.0,9655.0,5555.0,4100.0,2277660.0,2022,Allegan,4,0
4816.0,9629.0,5562.0,4067.0,2239675.0,2022,Allegan,4,0
4843.0,9775.0,5636.0,4139.0,2316779.0,2022,Allegan,4,0
4977.0,10117.0,5802.0,4315.0,2344858.0,2022,Allegan,4,0
5027.0,10250.0,5850.0,4400.0,2409582.0,2022,Allegan,4,0
5019.0,10230.0,5836.0,4394.0,2412988.0,2022,Allegan,4,0
5090.0,10345.0,5907.0,4438.0,2387618.0,2022,Allegan,4,0
5219.0,10640.0,6043.0,4597.0,2375051.0,2022,Allegan,4,0
4998.0,10172.0,5783.0,4389.0,2346981.0,2022,Allegan,4,0
5044.0,10286.0,5836.0,4450.0,2381829.0,2022,Allegan,4,0
5008.0,10112.0,5789.0,4323.0,2357097.0,2022,Allegan,4,0
5033.0,10153.0,5777.0,4376.0,2368968.0,2022,Allegan,4,0
4991.0,10114.0,5781.0,4332.0,2351591.0,2022,Allegan,4,0
2344.0,4040.0,2735.0,1305.0,972132.0,2022,Alpena,5,0
2341.0,4020.0,2729.0,1291.0,972313.0,2022,Alpena,5,0
2342.0,4051.0,2740.0,1311.0,985174.0,2022,Alpena,5,0
2350.0,4074.0,2742.0,1332.0,971763.0,2022,Alpena,5,0
2343.0,4055.0,2740.0,1315.0,971956.0,2022,Alpena,5,0
2331.0,4023.0,2715.0,1308.0,970389.0,2022,Alpena,5,0
2382.0,4125.0,2771.0,1354.0,969734.0,2022,Alpena,5,0
2451.0,4259.0,2850.0,1409.0,973454.0,2022,Alpena,5,0
2313.0,4004.0,2693.0,1311.0,945447.0,2022,Alpena,5,0
2315.0,4036.0,2708.0,1328.0,956437.0,2022,Alpena,5,0
2332.0,4067.0,2732.0,1335.0,968034.0,2022,Alpena,5,0
2357.0,4093.0,2764.0,1329.0,967260.0,2022,Alpena,5,0
2350.0,4071.0,2743.0,1327.0,968674.0,2022,Alpena,5,0
1019.0,1897.0,1250.0,647.0,455980.0,2022,Antrim,6,0
1010.0,1884.0,1247.0,637.0,450494.0,2022,Antrim,6,0
1039.0,1951.0,1281.0,670.0,468176.0,2022,Antrim,6,0
1076.0,2039.0,1334.0,705.0,482214.0,2022,Antrim,6,0
1085.0,2084.0,1345.0,739.0,490837.0,2022,Antrim,6,0
1083.0,2079.0,1350.0,729.0,490816.0,2022,Antrim,6,0
1113.0,2163.0,1390.0,773.0,495556.0,2022,Antrim,6,0
1144.0,2236.0,1433.0,803.0,492146.0,2022,Antrim,6,0
1072.0,2055.0,1336.0,719.0,475900.0,2022,Antrim,6,0
1078.0,2087.0,1343.0,744.0,482008.0,2022,Antrim,6,0
1090.0,2096.0,1350.0,746.0,489873.0,2022,Antrim,6,0
1094.0,2108.0,1355.0,753.0,496003.0,2022,Antrim,6,0
1075.0,2057.0,1335.0,722.0,480834.0,2022,Antrim,6,0
1125.0,1951.0,1370.0,581.0,469457.0,2022,Arenac,7,0
1145.0,2018.0,1406.0,612.0,473509.0,2022,Arenac,7,0
1148.0,2027.0,1412.0,615.0,486141.0,2022,Arenac,7,0
1175.0,2115.0,1452.0,663.0,488269.0,2022,Arenac,7,0
1199.0,2198.0,1491.0,707.0,513311.0,2022,Arenac,7,0
1213.0,2209.0,1503.0,706.0,511854.0,2022,Arenac,7,0
1229.0,2233.0,1526.0,707.0,508724.0,2022,Arenac,7,0
1254.0,2269.0,1547.0,722.0,516541.0,2022,Arenac,7,0
1207.0,2161.0,1485.0,676.0,513251.0,2022,Arenac,7,0
1207.0,2144.0,1478.0,666.0,512540.0,2022,Arenac,7,0
1220.0,2193.0,1506.0,687.0,518384.0,2022,Arenac,7,0
1215.0,2208.0,1505.0,703.0,523693.0,2022,Arenac,7,0
1195.0,2144.0,1473.0,670.0,502973.0,2022,Arenac,7,0
502.0,904.0,580.0,324.0,222064.0,2022,Baraga,8,0
516.0,962.0,604.0,358.0,227941.0,2022,Baraga,8,0
522.0,973.0,611.0,362.0,236814.0,2022,Baraga,8,0
530.0,963.0,615.0,348.0,229033.0,2022,Baraga,8,0
526.0,953.0,607.0,346.0,236453.0,2022,Baraga,8,0
542.0,986.0,626.0,360.0,240322.0,2022,Baraga,8,0
558.0,1015.0,641.0,374.0,244984.0,2022,Baraga,8,0
582.0,1060.0,669.0,391.0,248029.0,2022,Baraga,8,0
574.0,1035.0,659.0,376.0,250670.0,2022,Baraga,8,0
583.0,1062.0,671.0,391.0,254755.0,2022,Baraga,8,0
581.0,1047.0,670.0,377.0,254429.0,2022,Baraga,8,0
577.0,1044.0,665.0,379.0,252197.0,2022,Baraga,8,0
549.0,1000.0,635.0,366.0,241474.0,2022,Baraga,8,0
2463.0,4744.0,2950.0,1794.0,1118291.0,2022,Barry,9,0
2501.0,4839.0,3014.0,1825.0,1130391.0,2022,Barry,9,0
2516.0,4898.0,3050.0,1848.0,1164058.0,2022,Barry,9,0
2545.0,4992.0,3084.0,1908.0,1165778.0,2022,Barry,9,0
2575.0,5089.0,3128.0,1961.0,1198152.0,2022,Barry,9,0
2582.0,5097.0,3136.0,1961.0,1198572.0,2022,Barry,9,0
2614.0,5144.0,3174.0,1970.0,1191558.0,2022,Barry,9,0
2696.0,5351.0,3280.0,2071.0,1209444.0,2022,Barry,9,0
2606.0,5187.0,3164.0,2023.0,1193779.0,2022,Barry,9,0
2642.0,5259.0,3195.0,2064.0,1218159.0,2022,Barry,9,0
2638.0,5277.0,3194.0,2083.0,1219791.0,2022,Barry,9,0
2638.0,5226.0,3183.0,2043.0,1218764.0,2022,Barry,9,0
2585.0,5092.0,3129.0,1963.0,1185561.0,2022,Barry,9,0
7662.0,13464.0,8703.0,4761.0,3270519.0,2022,Bay,10,0
7720.0,13599.0,8811.0,4788.0,3267651.0,2022,Bay,10,0
7767.0,13711.0,8892.0,4819.0,3329950.0,2022,Bay,10,0
7922.0,14026.0,9090.0,4936.0,3325972.0,2022,Bay,10,0
8019.0,14226.0,9216.0,5010.0,3418113.0,2022,Bay,10,0
8026.0,14249.0,9232.0,5017.0,3395944.0,2022,Bay,10,0
8230.0,14608.0,9458.0,5150.0,3432501.0,2022,Bay,10,0
8424.0,14982.0,9690.0,5292.0,3465315.0,2022,Bay,10,0
8013.0,14216.0,9200.0,5016.0,3421342.0,2022,Bay,10,0
8063.0,14312.0,9257.0,5055.0,3445766.0,2022,Bay,10,0
8127.0,14409.0,9316.0,5093.0,3464435.0,2022,Bay,10,0
8141.0,14376.0,9321.0,5055.0,3483090.0,2022,Bay,10,0
8010.0,14182.0,9182.0,4999.0,3393383.0,2022,Bay,10,0
721.0,1361.0,903.0,458.0,317576.0,2022,Benzie,11,0
727.0,1378.0,912.0,466.0,315400.0,2022,Benzie,11,0
717.0,1352.0,898.0,454.0,317608.0,2022,Benzie,11,0
723.0,1345.0,900.0,445.0,316805.0,2022,Benzie,11,0
744.0,1366.0,918.0,448.0,318882.0,2022,Benzie,11,0
762.0,1391.0,941.0,450.0,322255.0,2022,Benzie,11,0
775.0,1422.0,953.0,469.0,325244.0,2022,Benzie,11,0
797.0,1468.0,983.0,485.0,329959.0,2022,Benzie,11,0
759.0,1393.0,940.0,453.0,328973.0,2022,Benzie,11,0
767.0,1392.0,944.0,448.0,332724.0,2022,Benzie,11,0
772.0,1391.0,942.0,449.0,326678.0,2022,Benzie,11,0
751.0,1342.0,914.0,428.0,327977.0,2022,Benzie,11,0
751.0,1383.0,929.0,454.0,323340.0,2022,Benzie,11,0
11017.0,20776.0,11964.0,8812.0,5000920.0,2022,Berrien,12,0
10932.0,20633.0,11918.0,8715.0,4934327.0,2022,Berrien,12,0
10967.0,20738.0,11954.0,8784.0,5004168.0,2022,Berrien,12,0
11165.0,21244.0,12209.0,9035.0,5025281.0,2022,Berrien,12,0
11163.0,21238.0,12204.0,9034.0,5094101.0,2022,Berrien,12,0
11135.0,21096.0,12155.0,8941.0,5040223.0,2022,Berrien,12,0
11279.0,21379.0,12288.0,9091.0,5006125.0,2022,Berrien,12,0
11584.0,21973.0,12630.0,9343.0,5018061.0,2022,Berrien,12,0
11140.0,21121.0,12121.0,9000.0,4968391.0,2022,Berrien,12,0
11194.0,21117.0,12144.0,8973.0,5034011.0,2022,Berrien,12,0
11231.0,21115.0,12159.0,8956.0,5023107.0,2022,Berrien,12,0
11204.0,21002.0,12137.0,8865.0,5004481.0,2022,Berrien,12,0
11168.0,21119.0,12157.0,8962.0,5012766.0,2022,Berrien,12,0
2401.0,4946.0,2898.0,2048.0,1148062.0,2022,Branch,13,0
2413.0,4980.0,2916.0,2064.0,1148845.0,2022,Branch,13,0
2431.0,5015.0,2924.0,2091.0,1176966.0,2022,Branch,13,0
2448.0,5041.0,2961.0,2080.0,1169217.0,2022,Branch,13,0
2454.0,5072.0,2968.0,2104.0,1188041.0,2022,Branch,13,0
2482.0,5134.0,3001.0,2133.0,1190698.0,2022,Branch,13,0
2518.0,5198.0,3033.0,2165.0,1184569.0,2022,Branch,13,0
2596.0,5369.0,3118.0,2251.0,1189552.0,2022,Branch,13,0
2525.0,5214.0,3022.0,2192.0,1195666.0,2022,Branch,13,0
2561.0,5256.0,3070.0,2186.0,1213603.0,2022,Branch,13,0
2605.0,5324.0,3115.0,2209.0,1235850.0,2022,Branch,13,0
2595.0,5269.0,3100.0,2169.0,1240218.0,2022,Branch,13,0
2502.0,5152.0,3011.0,2141.0,1190107.0,2022,Branch,13,0
