Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
4817.0,9655.0,5555.0,4100.0,2277660.0,2022,Allegan,4,0
4816.0,9629.0,5562.0,4067.0,2239675.0,2022,Allegan,4,0
4843.0,9775.0,5636.0,4139.0,2316779.0,2022,Allegan,4,0
4977.0,10117.0,5802.0,4315.0,2344858.0,2022,Allegan,4,0
5027.0,10250.0,5850.0,4400.0,2409582.0,2022,Allegan,4,0
5019.0,10230.0,5836.0,4394.0,2412988.0,2022,Allegan,4,0
5090.0,10345.0,5907.0,4438.0,2387618.0,2022,Allegan,4,0
5219.0,10640.0,6043.0,4597.0,2375051.0,2022,Allegan,4,0
4998.0,10172.0,5783.0,4389.0,2346981.0,2022,Allegan,4,0
5044.0,10286.0,5836.0,4450.0,2381829.0,2022,Allegan,4,0
5008.0,10112.0,5789.0,4323.0,2357097.0,2022,Allegan,4,0
5033.0,10153.0,5777.0,4376.0,2368968.0,2022,Allegan,4,0
4991.0,10114.0,5781.0,4332.0,2351591.0,2022,Allegan,4,0
