Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1019.0,1897.0,1250.0,647.0,455980.0,2022,Antrim,6,0
1010.0,1884.0,1247.0,637.0,450494.0,2022,Antrim,6,0
1039.0,1951.0,1281.0,670.0,468176.0,2022,Antrim,6,0
1076.0,2039.0,1334.0,705.0,482214.0,2022,Antrim,6,0
1085.0,2084.0,1345.0,739.0,490837.0,2022,Antrim,6,0
1083.0,2079.0,1350.0,729.0,490816.0,2022,Antrim,6,0
1113.0,2163.0,1390.0,773.0,495556.0,2022,Antrim,6,0
1144.0,2236.0,1433.0,803.0,492146.0,2022,Antrim,6,0
1072.0,2055.0,1336.0,719.0,475900.0,2022,Antrim,6,0
1078.0,2087.0,1343.0,744.0,482008.0,2022,Antrim,6,0
1090.0,2096.0,1350.0,746.0,489873.0,2022,Antrim,6,0
1094.0,2108.0,1355.0,753.0,496003.0,2022,Antrim,6,0
1075.0,2057.0,1335.0,722.0,480834.0,2022,Antrim,6,0
