Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1302.0,2228.0,1566.0,662.0,549265.0,2022,Gogebic,28,0
1283.0,2172.0,1528.0,644.0,531378.0,2022,Gogebic,28,0
1303.0,2221.0,1565.0,656.0,550154.0,2022,Gogebic,28,0
1318.0,2246.0,1576.0,670.0,545828.0,2022,Gogebic,28,0
1341.0,2307.0,1606.0,701.0,564313.0,2022,Gogebic,28,0
1359.0,2360.0,1631.0,729.0,568337.0,2022,Gogebic,28,0
1404.0,2437.0,1688.0,749.0,581832.0,2022,Gogebic,28,0
1438.0,2501.0,1730.0,771.0,587449.0,2022,Gogebic,28,0
1395.0,2445.0,1672.0,773.0,589706.0,2022,Gogebic,28,0
1410.0,2465.0,1685.0,780.0,593957.0,2022,Gogebic,28,0
1425.0,2482.0,1700.0,782.0,597463.0,2022,Gogebic,28,0
1447.0,2467.0,1707.0,760.0,602666.0,2022,Gogebic,28,0
1369.0,2361.0,1638.0,723.0,571862.0,2022,Gogebic,28,0
