Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1455.0,2578.0,1772.0,806.0,624718.0,2022,Lake,44,0
1455.0,2564.0,1769.0,795.0,626114.0,2022,Lake,44,0
1472.0,2578.0,1786.0,792.0,631494.0,2022,Lake,44,0
1496.0,2631.0,1823.0,808.0,629302.0,2022,Lake,44,0
1496.0,2652.0,1829.0,823.0,636498.0,2022,Lake,44,0
1493.0,2625.0,1822.0,803.0,634953.0,2022,Lake,44,0
1528.0,2669.0,1864.0,805.0,638501.0,2022,Lake,44,0
1555.0,2712.0,1894.0,818.0,629553.0,2022,Lake,44,0
1507.0,2605.0,1826.0,779.0,624716.0,2022,Lake,44,0
1526.0,2666.0,1859.0,807.0,637025.0,2022,Lake,44,0
1538.0,2705.0,1879.0,826.0,638633.0,2022,Lake,44,0
1515.0,2637.0,1845.0,792.0,628177.0,2022,Lake,44,0
1503.0,2635.0,1831.0,805.0,631640.0,2022,Lake,44,0
