Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
897.0,1769.0,1100.0,669.0,414721.0,2022,Missaukee,58,0
884.0,1747.0,1088.0,659.0,410344.0,2022,Missaukee,58,0
901.0,1784.0,1103.0,681.0,422425.0,2022,Missaukee,58,0
929.0,1846.0,1144.0,702.0,433586.0,2022,Missaukee,58,0
940.0,1865.0,1160.0,705.0,444178.0,2022,Missaukee,58,0
953.0,1899.0,1183.0,716.0,442338.0,2022,Missaukee,58,0
958.0,1918.0,1187.0,731.0,441248.0,2022,Missaukee,58,0
983.0,1995.0,1221.0,774.0,447397.0,2022,Missaukee,58,0
949.0,1903.0,1177.0,726.0,437603.0,2022,Missaukee,58,0
943.0,1885.0,1163.0,722.0,440530.0,2022,Missaukee,58,0
951.0,1924.0,1179.0,745.0,448578.0,2022,Missaukee,58,0
947.0,1913.0,1174.0,739.0,445215.0,2022,Missaukee,58,0
936.0,1871.0,1157.0,714.0,435680.0,2022,Missaukee,58,0
