Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
377.0,587.0,447.0,140.0,146064.0,2022,Ontonagon,67,0
383.0,594.0,455.0,139.0,144156.0,2022,Ontonagon,67,0
378.0,583.0,450.0,133.0,144643.0,2022,Ontonagon,67,0
380.0,592.0,454.0,138.0,142965.0,2022,Ontonagon,67,0
383.0,594.0,455.0,139.0,146118.0,2022,Ontonagon,67,0
394.0,613.0,469.0,144.0,147962.0,2022,Ontonagon,67,0
411.0,649.0,494.0,155.0,157228.0,2022,Ontonagon,67,0
426.0,675.0,511.0,164.0,159817.0,2022,Ontonagon,67,0
413.0,648.0,494.0,154.0,158717.0,2022,Ontonagon,67,0
422.0,664.0,505.0,159.0,160939.0,2022,Ontonagon,67,0
423.0,667.0,503.0,164.0,160377.0,2022,Ontonagon,67,0
425.0,658.0,502.0,156.0,160076.0,2022,Ontonagon,67,0
401.0,627.0,478.0,149.0,152422.0,2022,Ontonagon,67,0
