Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
409.0,716.0,492.0,224.0,114736.0,2024,Alger,3,0
410.0,734.0,496.0,238.0,116097.0,2024,Alger,3,0
417.0,746.0,504.0,242.0,122112.0,2024,Alger,3,0
420.0,752.0,514.0,238.0,116211.0,2024,Alger,3,0
423.0,758.0,522.0,236.0,119192.0,2024,Alger,3,0
428.0,776.0,530.0,246.0,120387.0,2024,Alger,3,0
425.0,750.0,523.0,227.0,119003.0,2024,Alger,3,0
420.0,739.0,522.0,217.0,120947.0,2024,Alger,3,0
419.0,741.0,519.0,222.0,119828.0,2024,Alger,3,0
423.0,752.0,522.0,230.0,120587.0,2024,Alger,3,0
417.0,749.0,516.0,233.0,116145.0,2024,Alger,3,0
418.0,749.0,509.0,240.0,117197.0,2024,Alger,3,0
419.0,747.0,514.0,233.0,118537.0,2024,Alger,3,0
