Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2690.0,5207.0,3113.0,2094.0,907819.0,2024,Clinton,20,0
2651.0,5124.0,3054.0,2070.0,888855.0,2024,Clinton,20,0
2647.0,5120.0,3051.0,2069.0,889687.0,2024,Clinton,20,0
2666.0,5152.0,3078.0,2074.0,879148.0,2024,Clinton,20,0
2661.0,5155.0,3064.0,2091.0,871844.0,2024,Clinton,20,0
2650.0,5079.0,3043.0,2036.0,851159.0,2024,Clinton,20,0
2600.0,5002.0,2984.0,2018.0,843759.0,2024,Clinton,20,0
2607.0,5005.0,2997.0,2008.0,859625.0,2024,Clinton,20,0
2609.0,5013.0,3003.0,2010.0,864583.0,2024,Clinton,20,0
2625.0,5106.0,3033.0,2073.0,882679.0,2024,Clinton,20,0
2628.0,5043.0,3031.0,2012.0,875600.0,2024,Clinton,20,0
2622.0,5058.0,3022.0,2036.0,869924.0,2024,Clinton,20,0
2638.0,5089.0,3039.0,2049.0,873724.0,2024,Clinton,20,0
