Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3120.0,5926.0,3736.0,2190.0,986088.0,2024,Hillsdale,31,0
3144.0,5948.0,3749.0,2199.0,998366.0,2024,Hillsdale,31,0
3125.0,5923.0,3713.0,2210.0,994412.0,2024,Hillsdale,31,0
3132.0,5909.0,3720.0,2189.0,968444.0,2024,Hillsdale,31,0
3100.0,5835.0,3696.0,2139.0,947029.0,2024,Hillsdale,31,0
3094.0,5793.0,3689.0,2104.0,954141.0,2024,Hillsdale,31,0
3081.0,5841.0,3676.0,2165.0,949774.0,2024,Hillsdale,31,0
3059.0,5783.0,3658.0,2125.0,940430.0,2024,Hillsdale,31,0
3068.0,5834.0,3664.0,2170.0,953149.0,2024,Hillsdale,31,0
3035.0,5795.0,3628.0,2167.0,965493.0,2024,Hillsdale,31,0
3034.0,5791.0,3621.0,2170.0,969205.0,2024,Hillsdale,31,0
3055.0,5784.0,3634.0,2150.0,972641.0,2024,Hillsdale,31,0
3087.0,5847.0,3682.0,2165.0,966598.0,2024,Hillsdale,31,0
