Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1376.0,2381.0,1578.0,803.0,395847.0,2024,Menominee,56,0
1363.0,2380.0,1567.0,813.0,401333.0,2024,Menominee,56,0
1390.0,2418.0,1603.0,815.0,406482.0,2024,Menominee,56,0
1394.0,2445.0,1603.0,842.0,403256.0,2024,Menominee,56,0
1406.0,2483.0,1620.0,863.0,411867.0,2024,Menominee,56,0
1398.0,2443.0,1600.0,843.0,405539.0,2024,Menominee,56,0
1388.0,2425.0,1588.0,837.0,402357.0,2024,Menominee,56,0
1396.0,2456.0,1607.0,849.0,411247.0,2024,Menominee,56,0
1425.0,2535.0,1648.0,887.0,419464.0,2024,Menominee,56,0
1441.0,2528.0,1655.0,873.0,427962.0,2024,Menominee,56,0
1435.0,2497.0,1647.0,850.0,415595.0,2024,Menominee,56,0
1441.0,2487.0,1648.0,839.0,421122.0,2024,Menominee,56,0
1404.0,2457.0,1614.0,843.0,410173.0,2024,Menominee,56,0
