Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1714.0,3112.0,2006.0,1106.0,494992.0,2024,Otsego,70,0
1689.0,3047.0,1979.0,1068.0,488090.0,2024,Otsego,70,0
1706.0,3093.0,2002.0,1091.0,496430.0,2024,Otsego,70,0
1708.0,3083.0,2005.0,1078.0,491213.0,2024,Otsego,70,0
1737.0,3123.0,2040.0,1083.0,501463.0,2024,Otsego,70,0
1782.0,3235.0,2097.0,1138.0,518523.0,2024,Otsego,70,0
1784.0,3248.0,2096.0,1152.0,529582.0,2024,Otsego,70,0
1749.0,3164.0,2052.0,1112.0,511347.0,2024,Otsego,70,0
1749.0,3204.0,2062.0,1142.0,512748.0,2024,Otsego,70,0
1720.0,3125.0,2020.0,1105.0,507802.0,2024,Otsego,70,0
1713.0,3110.0,2017.0,1093.0,495840.0,2024,Otsego,70,0
1728.0,3149.0,2036.0,1113.0,503803.0,2024,Otsego,70,0
1732.0,3141.0,2034.0,1107.0,504319.0,2024,Otsego,70,0
