Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
5578.0,10791.0,6343.0,4448.0,1822098.0,2024,Van Buren,81,0
5618.0,10824.0,6359.0,4465.0,1836376.0,2024,Van Buren,81,0
5627.0,10877.0,6389.0,4488.0,1858625.0,2024,Van Buren,81,0
5667.0,11012.0,6461.0,4551.0,1829293.0,2024,Van Buren,81,0
5700.0,11103.0,6507.0,4596.0,1845300.0,2024,Van Buren,81,0
5671.0,10980.0,6452.0,4528.0,1839059.0,2024,Van Buren,81,0
5668.0,10980.0,6452.0,4528.0,1820502.0,2024,Van Buren,81,0
5619.0,10833.0,6379.0,4454.0,1797486.0,2024,Van Buren,81,0
5626.0,10793.0,6354.0,4439.0,1808112.0,2024,Van Buren,81,0
5599.0,10709.0,6329.0,4380.0,1821290.0,2024,Van Buren,81,0
5604.0,10685.0,6311.0,4374.0,1801516.0,2024,Van Buren,81,0
5650.0,10831.0,6347.0,4484.0,1840375.0,2024,Van Buren,81,0
5636.0,10868.0,6390.0,4478.0,1826669.0,2024,Van Buren,81,0
