Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
749.0,1306.0,920.0,386.0,151505.0,2018,Alcona,2,0
744.0,1298.0,912.0,386.0,152037.0,2018,Alcona,2,0
737.0,1302.0,914.0,388.0,149381.0,2018,Alcona,2,0
743.0,1314.0,924.0,390.0,149614.0,2018,Alcona,2,0
738.0,1284.0,918.0,366.0,146727.0,2018,Alcona,2,0
736.0,1287.0,919.0,368.0,147712.0,2018,Alcona,2,0
722.0,1259.0,899.0,360.0,144103.0,2018,Alcona,2,0
716.0,1250.0,890.0,360.0,144011.0,2018,Alcona,2,0
712.0,1228.0,880.0,348.0,140175.0,2018,Alcona,2,0
701.0,1203.0,866.0,337.0,136605.0,2018,Alcona,2,0
703.0,1206.0,865.0,341.0,136015.0,2018,Alcona,2,0
695.0,1185.0,858.0,327.0,130620.0,2018,Alcona,2,0
725.0,1260.0,897.0,363.0,144042.0,2018,Alcona,2,0
469.0,853.0,567.0,286.0,88658.0,2018,Alger,3,0
474.0,881.0,575.0,306.0,87990.0,2018,Alger,3,0
477.0,877.0,576.0,301.0,90054.0,2018,Alger,3,0
473.0,857.0,569.0,288.0,88552.0,2018,Alger,3,0
481.0,889.0,583.0,306.0,91211.0,2018,Alger,3,0
471.0,860.0,571.0,289.0,86619.0,2018,Alger,3,0
461.0,830.0,559.0,271.0,82988.0,2018,Alger,3,0
464.0,843.0,564.0,279.0,86567.0,2018,Alger,3,0
462.0,843.0,562.0,281.0,87916.0,2018,Alger,3,0
470.0,851.0,571.0,280.0,88587.0,2018,Alger,3,0
455.0,810.0,545.0,265.0,82941.0,2018,Alger,3,0
433.0,768.0,520.0,248.0,77894.0,2018,Alger,3,0
466.0,847.0,564.0,283.0,86665.0,2018,Alger,3,0
4648.0,9630.0,5394.0,4236.0,1099224.0,2018,Allegan,4,0
4626.0,9594.0,5389.0,4205.0,1081710.0,2018,Allegan,4,0
4581.0,9514.0,5341.0,4173.0,1089728.0,2018,Allegan,4,0
4580.0,9504.0,5328.0,4176.0,1072281.0,2018,Allegan,4,0
4554.0,9492.0,5300.0,4192.0,1074624.0,2018,Allegan,4,0
4491.0,9317.0,5222.0,4095.0,1051523.0,2018,Allegan,4,0
4475.0,9185.0,5172.0,4013.0,1038242.0,2018,Allegan,4,0
4432.0,9137.0,5120.0,4017.0,1015676.0,2018,Allegan,4,0
4330.0,8972.0,4948.0,4024.0,970041.0,2018,Allegan,4,0
4302.0,8886.0,4898.0,3988.0,976510.0,2018,Allegan,4,0
4266.0,8846.0,4893.0,3953.0,966660.0,2018,Allegan,4,0
4242.0,8730.0,4836.0,3894.0,936845.0,2018,Allegan,4,0
4461.0,9234.0,5153.0,4081.0,1031089.0,2018,Allegan,4,0
2411.0,4292.0,2885.0,1407.0,469382.0,2018,Alpena,5,0
2387.0,4228.0,2844.0,1384.0,450633.0,2018,Alpena,5,0
2383.0,4218.0,2840.0,1378.0,460470.0,2018,Alpena,5,0
2414.0,4278.0,2880.0,1398.0,460884.0,2018,Alpena,5,0
2436.0,4292.0,2890.0,1402.0,464345.0,2018,Alpena,5,0
2408.0,4204.0,2855.0,1349.0,459359.0,2018,Alpena,5,0
2409.0,4167.0,2845.0,1322.0,454362.0,2018,Alpena,5,0
2412.0,4174.0,2849.0,1325.0,451705.0,2018,Alpena,5,0
2386.0,4146.0,2821.0,1325.0,447983.0,2018,Alpena,5,0
2370.0,4106.0,2813.0,1293.0,445552.0,2018,Alpena,5,0
2362.0,4074.0,2796.0,1278.0,444014.0,2018,Alpena,5,0
2359.0,4030.0,2778.0,1252.0,428186.0,2018,Alpena,5,0
2395.0,4184.0,2841.0,1343.0,453073.0,2018,Alpena,5,0
1054.0,2040.0,1303.0,737.0,218913.0,2018,Antrim,6,0
1061.0,2041.0,1305.0,736.0,215252.0,2018,Antrim,6,0
1043.0,2023.0,1295.0,728.0,219086.0,2018,Antrim,6,0
1052.0,2025.0,1303.0,722.0,220057.0,2018,Antrim,6,0
1057.0,2043.0,1319.0,724.0,219412.0,2018,Antrim,6,0
1055.0,2033.0,1306.0,727.0,217097.0,2018,Antrim,6,0
1047.0,1986.0,1288.0,698.0,215220.0,2018,Antrim,6,0
1026.0,1967.0,1278.0,689.0,216877.0,2018,Antrim,6,0
1039.0,1981.0,1278.0,703.0,212499.0,2018,Antrim,6,0
1030.0,1934.0,1257.0,677.0,208371.0,2018,Antrim,6,0
1001.0,1857.0,1210.0,647.0,203536.0,2018,Antrim,6,0
969.0,1809.0,1176.0,633.0,193994.0,2018,Antrim,6,0
1036.0,1978.0,1277.0,702.0,213360.0,2018,Antrim,6,0
1295.0,2284.0,1572.0,712.0,252661.0,2018,Arenac,7,0
1286.0,2291.0,1575.0,716.0,249289.0,2018,Arenac,7,0
1279.0,2282.0,1567.0,715.0,247456.0,2018,Arenac,7,0
1273.0,2276.0,1564.0,712.0,242344.0,2018,Arenac,7,0
1271.0,2270.0,1561.0,709.0,243142.0,2018,Arenac,7,0
1261.0,2239.0,1547.0,692.0,240145.0,2018,Arenac,7,0
1247.0,2199.0,1530.0,669.0,237502.0,2018,Arenac,7,0
1232.0,2172.0,1509.0,663.0,234877.0,2018,Arenac,7,0
1236.0,2169.0,1505.0,664.0,230930.0,2018,Arenac,7,0
1216.0,2103.0,1466.0,637.0,228402.0,2018,Arenac,7,0
1210.0,2101.0,1467.0,634.0,223225.0,2018,Arenac,7,0
1202.0,2079.0,1448.0,631.0,219443.0,2018,Arenac,7,0
1251.0,2205.0,1526.0,680.0,237451.0,2018,Arenac,7,0
611.0,1153.0,707.0,446.0,130062.0,2018,Baraga,8,0
599.0,1115.0,693.0,422.0,126745.0,2018,Baraga,8,0
592.0,1092.0,681.0,411.0,127634.0,2018,Baraga,8,0
597.0,1102.0,687.0,415.0,127890.0,2018,Baraga,8,0
603.0,1119.0,699.0,420.0,125762.0,2018,Baraga,8,0
592.0,1099.0,686.0,413.0,124180.0,2018,Baraga,8,0
602.0,1107.0,692.0,415.0,126971.0,2018,Baraga,8,0
594.0,1058.0,679.0,379.0,124460.0,2018,Baraga,8,0
585.0,1035.0,670.0,365.0,118879.0,2018,Baraga,8,0
592.0,1045.0,675.0,370.0,121641.0,2018,Baraga,8,0
570.0,992.0,644.0,348.0,120088.0,2018,Baraga,8,0
554.0,955.0,621.0,334.0,112158.0,2018,Baraga,8,0
591.0,1073.0,678.0,395.0,123873.0,2018,Baraga,8,0
2316.0,4499.0,2785.0,1714.0,506658.0,2018,Barry,9,0
2330.0,4520.0,2796.0,1724.0,506338.0,2018,Barry,9,0
2306.0,4463.0,2772.0,1691.0,501198.0,2018,Barry,9,0
2302.0,4527.0,2769.0,1758.0,500688.0,2018,Barry,9,0
2271.0,4450.0,2727.0,1723.0,497220.0,2018,Barry,9,0
2246.0,4392.0,2701.0,1691.0,489828.0,2018,Barry,9,0
2192.0,4279.0,2632.0,1647.0,473283.0,2018,Barry,9,0
2171.0,4245.0,2600.0,1645.0,468598.0,2018,Barry,9,0
2099.0,4120.0,2508.0,1612.0,444348.0,2018,Barry,9,0
2078.0,4061.0,2471.0,1590.0,447909.0,2018,Barry,9,0
2115.0,4151.0,2500.0,1651.0,458525.0,2018,Barry,9,0
2107.0,4128.0,2490.0,1638.0,457484.0,2018,Barry,9,0
2211.0,4320.0,2646.0,1674.0,479340.0,2018,Barry,9,0
8496.0,15268.0,9704.0,5564.0,1793151.0,2018,Bay,10,0
8472.0,15216.0,9676.0,5540.0,1775921.0,2018,Bay,10,0
8443.0,15152.0,9667.0,5485.0,1778396.0,2018,Bay,10,0
8470.0,15182.0,9674.0,5508.0,1753603.0,2018,Bay,10,0
8442.0,15084.0,9630.0,5454.0,1755508.0,2018,Bay,10,0
8415.0,15007.0,9606.0,5401.0,1747981.0,2018,Bay,10,0
8370.0,14871.0,9529.0,5342.0,1724674.0,2018,Bay,10,0
8371.0,14847.0,9507.0,5340.0,1725819.0,2018,Bay,10,0
8368.0,14812.0,9503.0,5309.0,1703345.0,2018,Bay,10,0
8349.0,14731.0,9442.0,5289.0,1704668.0,2018,Bay,10,0
8316.0,14651.0,9404.0,5247.0,1697505.0,2018,Bay,10,0
8232.0,14498.0,9297.0,5201.0,1651793.0,2018,Bay,10,0
8395.0,14943.0,9553.0,5390.0,1734364.0,2018,Bay,10,0
790.0,1479.0,967.0,512.0,161384.0,2018,Benzie,11,0
786.0,1486.0,971.0,515.0,160285.0,2018,Benzie,11,0
790.0,1503.0,983.0,520.0,163619.0,2018,Benzie,11,0
813.0,1563.0,1018.0,545.0,168200.0,2018,Benzie,11,0
833.0,1574.0,1035.0,539.0,174448.0,2018,Benzie,11,0
824.0,1560.0,1026.0,534.0,170470.0,2018,Benzie,11,0
830.0,1577.0,1033.0,544.0,170134.0,2018,Benzie,11,0
815.0,1538.0,1007.0,531.0,169631.0,2018,Benzie,11,0
814.0,1536.0,1004.0,532.0,167204.0,2018,Benzie,11,0
