event_week,outcome,value
-52,grocery,10.211191186499796
-52,fast_food,10.162415029711612
-51,grocery,10.14528934541046
-51,fast_food,10.0879354975337
-50,grocery,10.159403984557862
-50,fast_food,10.142199991049175
-49,grocery,10.132880785760031
-49,fast_food,10.064173549802284
-48,grocery,10.12789245571931
-48,fast_food,10.032104432270735
-47,grocery,10.143661861931564
-47,fast_food,10.091587990695666
-46,grocery,10.23818993124717
-46,fast_food,10.128017245418366
-45,grocery,10.169880495072512
-45,fast_food,10.164623313397072
-44,grocery,10.200461936065635
-44,fast_food,10.219512311732803
-43,grocery,10.270891934459641
-43,fast_food,10.2429796439605
-42,grocery,10.306017552551136
-42,fast_food,10.277688105481888
-41,grocery,10.305508894693581
-41,fast_food,10.231320360317648
-40,grocery,10.442659647481698
-40,fast_food,10.324608264465263
-39,grocery,10.333688889049407
-39,fast_food,10.276983634888847
-38,grocery,10.309874077058938
-38,fast_food,10.24288014618451
-37,grocery,10.368890300537148
-37,fast_food,10.250679553093056
-36,grocery,10.335457356792682
-36,fast_food,10.267348449942698
-35,grocery,10.48652454810326
-35,fast_food,10.324386593209642
-34,grocery,10.424448450986898
-34,fast_food,10.344428006002753
-33,grocery,10.363247545689187
-33,fast_food,10.269958294458682
-32,grocery,10.393127766580871
-32,fast_food,10.304312248311392
-31,grocery,10.410354436778322
-31,fast_food,10.352407480336689
-30,grocery,10.4187516512151
-30,fast_food,10.35058962126232
-29,grocery,10.388712716507188
-29,fast_food,10.282417152838633
-28,grocery,10.379044059328029
-28,fast_food,10.289206522638418
-27,grocery,10.359961345415812
-27,fast_food,10.255732708079643
-26,grocery,10.414886849312177
-26,fast_food,10.258889916465005
-25,grocery,10.301686032022243
-25,fast_food,10.205430153540062
-24,grocery,10.289049854865098
-24,fast_food,10.200133659857425
-23,grocery,10.269647956599382
-23,fast_food,10.186066780435176
-22,grocery,10.291749580138836
-22,fast_food,10.219016706764231
-21,grocery,10.319366583858416
-21,fast_food,10.271493010338062
-20,grocery,10.30918509099849
-20,fast_food,10.247219685654294
-19,grocery,10.30656979877945
-19,fast_food,10.242289234175443
-18,grocery,10.279887791036881
-18,fast_food,10.207695389179746
-17,grocery,10.26226932286106
-17,fast_food,10.194282206460782
-16,grocery,10.262391305202271
-16,fast_food,10.16817606505481
-15,grocery,10.276582892082175
-15,fast_food,10.099416454382128
-14,grocery,10.349064211563103
-14,fast_food,10.120098450517366
-13,grocery,10.222838056987522
-13,fast_food,10.15793894728178
-12,grocery,10.230519027304785
-12,fast_food,10.137184762841121
-11,grocery,10.24077027649809
-11,fast_food,10.109096866065254
-10,grocery,10.258675862833941
-10,fast_food,9.844495743527151
-9,grocery,10.310215437798485
-9,fast_food,10.147609575420372
-8,grocery,10.136296509501443
-8,fast_food,10.0485986728719
-7,grocery,10.221888068669118
-7,fast_food,10.181108095640313
-6,grocery,10.186691233269867
-6,fast_food,10.151988961047671
-5,grocery,10.097479105783279
-5,fast_food,10.026419508159822
-4,grocery,10.22645036478703
-4,fast_food,10.14255075844426
-3,grocery,10.14794614455813
-3,fast_food,10.102880461188626
-2,grocery,10.189072303695237
-2,fast_food,10.115631849294388
-1,grocery,10.119648600609578
-1,fast_food,10.117211047259158
0,grocery,10.156776482322748
0,fast_food,10.141702331386494
1,grocery,10.108865758169253
1,fast_food,10.121478782648284
2,grocery,10.09051776536413
2,fast_food,10.107867155921234
3,grocery,10.134306688429328
3,fast_food,10.099782326628151
4,grocery,10.180460173443157
4,fast_food,10.137940581739818
5,grocery,10.152105328963012
5,fast_food,10.145191365753538
6,grocery,10.110673553063485
6,fast_food,10.13911528912533
7,grocery,10.170841815336463
7,fast_food,10.165008649278827
8,grocery,10.265726678663983
8,fast_food,10.234340958297091
9,grocery,10.270789117934376
9,fast_food,10.209116248567772
10,grocery,10.28030566615058
10,fast_food,10.232960578132673
11,grocery,10.366667957184944
11,fast_food,10.281155113662
12,grocery,10.3482573254689
12,fast_food,10.304857820781612
13,grocery,10.33347776943221
13,fast_food,10.306447322716899
14,grocery,10.339816488005214
14,fast_food,10.261738490885133
15,grocery,10.317973582497855
15,fast_food,10.247454059929778
16,grocery,10.43401650518922
16,fast_food,10.310054721934321
17,grocery,10.431875327633309
17,fast_food,10.29914330645652
18,grocery,10.350098773688819
18,fast_food,10.270974591499174
19,grocery,10.379991688644264
19,fast_food,10.2871279816557
20,grocery,10.377344237114974
20,fast_food,10.32307948607177
21,grocery,10.396449689429861
21,fast_food,10.324539441408211
22,grocery,10.356596858910452
22,fast_food,10.277220541197641
23,grocery,10.35523639128759
23,fast_food,10.291910033403605
24,grocery,10.330179519777372
24,fast_food,10.247497909693664
25,grocery,10.36457910275102
25,fast_food,10.224792093726215
26,grocery,10.276830797839118
26,fast_food,10.18243701461103
27,grocery,10.242067778248957
27,fast_food,10.166973157657834
28,grocery,10.224942137544682
28,fast_food,10.162211528917556
29,grocery,10.250245490430204
29,fast_food,10.193237319090157
30,grocery,10.26777631003209
30,fast_food,10.20638683451439
31,grocery,10.257928286551245
