event_time,estimate,se,ci_lower,ci_upper
-12,-27.773010889053303,0.4240567872569867,-28.604162192077,-26.941859586029608
-11,-32.52089442348531,0.41641634320033655,-33.33707045615797,-31.70471839081265
-10,-38.1184580271924,0.41619557449295147,-38.93420135319859,-37.30271470118622
-9,-30.13189863084514,0.40040128015756254,-30.916685139953962,-29.347112121736316
-8,-29.429236181094737,0.5088846509986948,-30.42665009705218,-28.431822265137296
-7,-29.607998337698714,0.38029474590506146,-30.353376039672636,-28.86262063572479
-6,-28.361802630171514,0.4028454163711612,-29.15137964625899,-27.572225614084036
-5,6.762005385163457,0.2962224356731653,6.1814094112440525,7.342601359082861
-4,-3.5326586267902207,0.31352407144928524,-4.14716580683082,-2.9181514467496217
-3,0.989551354272487,0.218193207245188,0.5618926680719185,1.4172100404730554
-2,-2.2938391610755757,0.24843493729734994,-2.780771638178382,-1.8069066839727699
0,-110.54337532288959,0.9537152056682237,-112.4126571259993,-108.67409351977987
1,-110.18491630356681,0.9870402849104063,-112.11951526199121,-108.2503173451424
2,-109.25408859760466,0.9659084883300397,-111.14726923473154,-107.36090796047779
3,-109.89132755924409,0.9150599232778727,-111.68484500886872,-108.09781010961946
4,-107.791274306418,0.9356844635085318,-109.62521585489472,-105.95733275794129
5,-106.97258593840378,0.9699831114561466,-108.87375283685783,-105.07141903994973
6,-107.52657915449116,0.9108421496431597,-109.31182976779175,-105.74132854119057
7,-98.23468842671626,0.7579109275742861,-99.72019384476187,-96.74918300867066
8,-97.69435685829438,0.8364450931566287,-99.33378924088137,-96.0549244757074
9,-97.2060379602583,0.8415266442805902,-98.85543018304826,-95.55664573746834
10,-101.00739798690212,0.8759347405097945,-102.72423007830132,-99.29056589550292
11,-100.9102413876677,0.8738225949963577,-102.62293367386056,-99.19754910147483
12,-101.03008006429845,0.895615587708478,-102.78548661620707,-99.27467351238982
