id,county_name,total_pop,pop_18_49,pop_50_54,pop_55_64,pop_18_64,share_55_64
26001,Alcona,10353,2488,731,2080,5299,0.3925268918663899
26003,Alger,9151,3247,614,1647,5508,0.29901960784313725
26005,Allegan,116143,44195,8247,16770,69212,0.24229902329075884
26007,Alpena,28520,9735,2041,4912,16688,0.2943432406519655
26009,Antrim,23206,7011,1656,4108,12775,0.3215655577299413
26011,Arenac,15070,4811,1068,2808,8687,0.3232416254172902
26013,Baraga,8421,3200,598,1288,5086,0.2532441997640582
26015,Barry,60540,22199,4502,9451,36152,0.26142398760787783
26017,Bay,104104,39080,7249,16086,62415,0.25772650805094927
26019,Benzie,17615,5506,1243,3071,9820,0.31272912423625254
26021,Berrien,154133,57672,10370,22518,90560,0.2486528268551237
26023,Branch,43513,16170,2921,6484,25575,0.2535288367546432
26025,Calhoun,134212,52611,8837,18651,80099,0.23284934893069825
26027,Cass,51523,18350,3804,8154,30308,0.2690378777880428
26029,Charlevoix,26188,8507,1895,4524,14926,0.30309526999866004
26031,Cheboygan,25418,8122,1758,4479,14359,0.3119298001253569
26033,Chippewa,37629,16309,2650,5138,24097,0.21322156285014732
26035,Clare,30651,10205,2122,5126,17453,0.29370308829427605
26037,Clinton,78389,30812,5836,11165,47813,0.23351389789387825
26039,Crawford,13892,4288,1072,2560,7920,0.32323232323232326
26041,Delta,36026,11931,2467,6010,20408,0.2944923559388475
26043,Dickinson,25439,8661,1848,4290,14799,0.28988445165213866
26045,Eaton,109456,43173,7530,16101,66804,0.2410185018861146
26047,Emmet,33104,11916,2165,5374,19455,0.2762271909534824
26049,Genesee,407875,159394,28238,58118,245750,0.23649237029501527
26051,Gladwin,25279,7759,1749,4271,13779,0.30996443863850787
26053,Gogebic,15061,5297,1031,2528,8856,0.28545618789521227
26055,Grand Traverse,92181,35198,6382,14148,55728,0.25387596899224807
26057,Gratiot,40916,17608,2816,5303,25727,0.20612585999144867
26059,Hillsdale,45757,16923,3071,6999,26993,0.2592894454117734
26061,Houghton,36070,16518,1886,4258,22662,0.1878916247462713
26063,Huron,31349,9969,2214,5353,17536,0.30525775547445255
26065,Ingham,290587,145270,15955,33358,194583,0.1714332701212336
26067,Ionia,64300,27013,4426,8705,40144,0.21684436030290952
26069,Iosco,25197,7499,1683,4536,13718,0.33066044612917334
26071,Iron,11152,3123,740,2157,6020,0.35830564784053154
26073,Isabella,70688,38518,3724,7568,49810,0.15193736197550692
26075,Jackson,158636,62918,11053,22972,96943,0.2369639891482624
26077,Kalamazoo,262745,121382,14869,31076,167327,0.1857201766600728
26079,Kalkaska,17585,6328,1263,2833,10424,0.2717766692248657
26081,Kent,648121,283222,40741,80041,404004,0.19811932555123216
26083,Keweenaw,2111,537,124,397,1058,0.3752362948960302
26085,Lake,11852,3523,793,2299,6615,0.3475434618291761
26087,Lapeer,88038,32563,7255,14318,54136,0.2644820452194473
26089,Leelanau,21652,6249,1344,4021,11614,0.34622007921474085
26091,Lenawee,98381,38648,6613,14214,59475,0.23899117276166457
26093,Livingston,189754,71539,15691,29956,117186,0.25562780536924207
26095,Luce,6338,2596,409,933,3938,0.23692229558151345
26097,Mackinac,10780,3370,739,2033,6142,0.33099967437316835
26099,Macomb,870325,352760,64357,123896,541013,0.22900743605052004
26101,Manistee,24457,8174,1645,4256,14075,0.30238010657193604
26103,Marquette,66686,28830,4051,9499,42380,0.22413874469089193
26105,Mason,28954,9648,1921,4774,16343,0.29211283118154563
26107,Mecosta,43251,19023,2560,5789,27372,0.21149349700423792
26109,Menominee,23074,7607,1718,4035,13360,0.30202095808383234
26111,Midland,83355,32430,6160,11829,50419,0.23461393522283266
26113,Missaukee,15028,5152,1041,2298,8491,0.27063950064774467
26115,Monroe,149727,56989,11053,23127,91169,0.2536717524597177
26117,Montcalm,63413,24761,4395,9190,38346,0.23965993845511918
26119,Montmorency,9265,2448,616,1913,4977,0.38436809322885274
26121,Muskegon,173297,68294,11474,24672,104440,0.2362313289927231
26123,Newaygo,48366,17288,3448,7581,28317,0.26771903803369
26125,Oakland,1253185,511193,91845,179072,782110,0.2289601206991344
26127,Oceana,26416,9167,1757,4041,14965,0.27003007016371533
26129,Ogemaw,20898,6512,1422,3823,11757,0.3251679850301948
26131,Ontonagon,5877,1372,451,1245,3068,0.40580182529335074
26133,Osceola,23290,8071,1578,3558,13207,0.2694025895358522
26135,Oscoda,8248,2326,530,1585,4441,0.3569015987390227
26137,Otsego,24490,8710,1766,3782,14258,0.26525459391218964
26139,Ottawa,286558,123471,17700,34214,175385,0.19507939675570887
26141,Presque Isle,12714,3427,866,2473,6766,0.36550399054094
26143,Roscommon,23851,6289,1580,4708,12577,0.37433410193209826
26145,Saginaw,191821,74567,12782,27341,114690,0.23839044380503968
26147,St. Clair,159247,59381,12363,24883,96627,0.25751601519244105
26149,St. Joseph,60836,22707,3951,8605,35263,0.2440234807021524
26151,Sanilac,41295,14165,2900,6610,23675,0.2791974656810982
26153,Schoolcraft,8048,2439,530,1558,4527,0.3441572785509167
26155,Shiawassee,68340,26123,5084,10385,41592,0.24968743989228698
26157,Tuscola,52939,19168,3883,8422,31473,0.2675944460331077
26159,Van Buren,75358,27780,5163,11427,44370,0.25753887762001354
26161,Washtenaw,367000,184801,21906,42109,248816,0.16923750884187513
26163,Wayne,1757299,723889,117365,233835,1075089,0.2175029230138156
26165,Wexford,33256,12004,2287,5009,19300,0.2595336787564767
