county,year,month,t_dense,treated,G
Alcona,2016,10,1,0,22
Alcona,2016,11,2,0,22
Alcona,2016,12,3,0,22
Alcona,2017,1,4,0,22
Alcona,2017,2,5,0,22
Alcona,2017,3,6,0,22
Alcona,2017,4,7,0,22
Alcona,2017,5,8,0,22
Alcona,2017,6,9,0,22
Alcona,2017,7,10,0,22
Alcona,2017,8,11,0,22
Alcona,2017,9,12,0,22
Alcona,2017,10,13,0,22
Alcona,2017,11,14,0,22
Alcona,2017,12,15,0,22
Alcona,2018,1,16,0,22
Alcona,2018,2,17,0,22
Alcona,2018,3,18,0,22
Alcona,2018,4,19,0,22
Alcona,2018,5,20,0,22
Alcona,2018,6,21,0,22
Alcona,2018,7,22,1,22
Alcona,2018,8,23,1,22
Alcona,2018,9,24,1,22
Alcona,2018,10,25,1,22
Alcona,2018,11,26,1,22
Alcona,2018,12,27,1,22
Alcona,2019,1,28,1,22
Alcona,2019,2,29,1,22
Alcona,2019,3,30,1,22
Alcona,2019,4,31,1,22
Alcona,2019,5,32,1,22
Alcona,2019,6,33,1,22
Alcona,2019,7,34,1,22
Alcona,2019,8,35,1,22
Alcona,2019,9,36,1,22
Alcona,2019,10,37,1,22
Alcona,2019,11,38,1,22
Alcona,2019,12,39,1,22
Alger,2016,10,1,0,22
Alger,2016,11,2,0,22
Alger,2016,12,3,0,22
Alger,2017,1,4,0,22
Alger,2017,2,5,0,22
Alger,2017,3,6,0,22
Alger,2017,4,7,0,22
Alger,2017,5,8,0,22
Alger,2017,6,9,0,22
Alger,2017,7,10,0,22
Alger,2017,8,11,0,22
Alger,2017,9,12,0,22
Alger,2017,10,13,0,22
Alger,2017,11,14,0,22
Alger,2017,12,15,0,22
Alger,2018,1,16,0,22
Alger,2018,2,17,0,22
Alger,2018,3,18,0,22
Alger,2018,4,19,0,22
Alger,2018,5,20,0,22
Alger,2018,6,21,0,22
Alger,2018,7,22,1,22
Alger,2018,8,23,1,22
Alger,2018,9,24,1,22
Alger,2018,10,25,1,22
Alger,2018,11,26,1,22
Alger,2018,12,27,1,22
Alger,2019,1,28,1,22
Alger,2019,2,29,1,22
Alger,2019,3,30,1,22
Alger,2019,4,31,1,22
Alger,2019,5,32,1,22
Alger,2019,6,33,1,22
Alger,2019,7,34,1,22
Alger,2019,8,35,1,22
Alger,2019,9,36,1,22
Alger,2019,10,37,1,22
Alger,2019,11,38,1,22
Alger,2019,12,39,1,22
Allegan,2016,10,1,0,16
Allegan,2016,11,2,0,16
Allegan,2016,12,3,0,16
Allegan,2017,1,4,0,16
Allegan,2017,2,5,0,16
Allegan,2017,3,6,0,16
Allegan,2017,4,7,0,16
Allegan,2017,5,8,0,16
Allegan,2017,6,9,0,16
Allegan,2017,7,10,0,16
Allegan,2017,8,11,0,16
Allegan,2017,9,12,0,16
Allegan,2017,10,13,0,16
Allegan,2017,11,14,0,16
Allegan,2017,12,15,0,16
Allegan,2018,1,16,1,16
Allegan,2018,2,17,1,16
Allegan,2018,3,18,1,16
Allegan,2018,4,19,1,16
Allegan,2018,5,20,1,16
Allegan,2018,6,21,1,16
Allegan,2018,7,22,1,16
Allegan,2018,8,23,1,16
Allegan,2018,9,24,1,16
Allegan,2018,10,25,1,16
Allegan,2018,11,26,1,16
Allegan,2018,12,27,1,16
Allegan,2019,1,28,1,16
Allegan,2019,2,29,1,16
Allegan,2019,3,30,1,16
Allegan,2019,4,31,1,16
Allegan,2019,5,32,1,16
Allegan,2019,6,33,1,16
Allegan,2019,7,34,1,16
Allegan,2019,8,35,1,16
Allegan,2019,9,36,1,16
Allegan,2019,10,37,1,16
Allegan,2019,11,38,1,16
Allegan,2019,12,39,1,16
Alpena,2016,10,1,0,22
Alpena,2016,11,2,0,22
Alpena,2016,12,3,0,22
Alpena,2017,1,4,0,22
Alpena,2017,2,5,0,22
Alpena,2017,3,6,0,22
Alpena,2017,4,7,0,22
Alpena,2017,5,8,0,22
Alpena,2017,6,9,0,22
Alpena,2017,7,10,0,22
Alpena,2017,8,11,0,22
Alpena,2017,9,12,0,22
Alpena,2017,10,13,0,22
Alpena,2017,11,14,0,22
Alpena,2017,12,15,0,22
Alpena,2018,1,16,0,22
Alpena,2018,2,17,0,22
Alpena,2018,3,18,0,22
Alpena,2018,4,19,0,22
Alpena,2018,5,20,0,22
Alpena,2018,6,21,0,22
Alpena,2018,7,22,1,22
Alpena,2018,8,23,1,22
Alpena,2018,9,24,1,22
Alpena,2018,10,25,1,22
Alpena,2018,11,26,1,22
Alpena,2018,12,27,1,22
Alpena,2019,1,28,1,22
Alpena,2019,2,29,1,22
Alpena,2019,3,30,1,22
Alpena,2019,4,31,1,22
Alpena,2019,5,32,1,22
Alpena,2019,6,33,1,22
Alpena,2019,7,34,1,22
Alpena,2019,8,35,1,22
Alpena,2019,9,36,1,22
Alpena,2019,10,37,1,22
Alpena,2019,11,38,1,22
Alpena,2019,12,39,1,22
Antrim,2016,10,1,0,22
Antrim,2016,11,2,0,22
Antrim,2016,12,3,0,22
Antrim,2017,1,4,0,22
Antrim,2017,2,5,0,22
Antrim,2017,3,6,0,22
Antrim,2017,4,7,0,22
Antrim,2017,5,8,0,22
Antrim,2017,6,9,0,22
Antrim,2017,7,10,0,22
Antrim,2017,8,11,0,22
Antrim,2017,9,12,0,22
Antrim,2017,10,13,0,22
Antrim,2017,11,14,0,22
Antrim,2017,12,15,0,22
Antrim,2018,1,16,0,22
Antrim,2018,2,17,0,22
Antrim,2018,3,18,0,22
Antrim,2018,4,19,0,22
Antrim,2018,5,20,0,22
Antrim,2018,6,21,0,22
Antrim,2018,7,22,1,22
Antrim,2018,8,23,1,22
Antrim,2018,9,24,1,22
Antrim,2018,10,25,1,22
Antrim,2018,11,26,1,22
Antrim,2018,12,27,1,22
Antrim,2019,1,28,1,22
Antrim,2019,2,29,1,22
Antrim,2019,3,30,1,22
Antrim,2019,4,31,1,22
Antrim,2019,5,32,1,22
Antrim,2019,6,33,1,22
Antrim,2019,7,34,1,22
Antrim,2019,8,35,1,22
Antrim,2019,9,36,1,22
Antrim,2019,10,37,1,22
Antrim,2019,11,38,1,22
Antrim,2019,12,39,1,22
Arenac,2016,10,1,0,22
Arenac,2016,11,2,0,22
Arenac,2016,12,3,0,22
Arenac,2017,1,4,0,22
Arenac,2017,2,5,0,22
Arenac,2017,3,6,0,22
Arenac,2017,4,7,0,22
Arenac,2017,5,8,0,22
Arenac,2017,6,9,0,22
Arenac,2017,7,10,0,22
Arenac,2017,8,11,0,22
Arenac,2017,9,12,0,22
Arenac,2017,10,13,0,22
Arenac,2017,11,14,0,22
Arenac,2017,12,15,0,22
Arenac,2018,1,16,0,22
Arenac,2018,2,17,0,22
Arenac,2018,3,18,0,22
Arenac,2018,4,19,0,22
Arenac,2018,5,20,0,22
Arenac,2018,6,21,0,22
Arenac,2018,7,22,1,22
Arenac,2018,8,23,1,22
Arenac,2018,9,24,1,22
Arenac,2018,10,25,1,22
Arenac,2018,11,26,1,22
Arenac,2018,12,27,1,22
Arenac,2019,1,28,1,22
Arenac,2019,2,29,1,22
Arenac,2019,3,30,1,22
Arenac,2019,4,31,1,22
Arenac,2019,5,32,1,22
Arenac,2019,6,33,1,22
Arenac,2019,7,34,1,22
Arenac,2019,8,35,1,22
Arenac,2019,9,36,1,22
Arenac,2019,10,37,1,22
Arenac,2019,11,38,1,22
Arenac,2019,12,39,1,22
Baraga,2016,10,1,0,22
Baraga,2016,11,2,0,22
Baraga,2016,12,3,0,22
Baraga,2017,1,4,0,22
Baraga,2017,2,5,0,22
Baraga,2017,3,6,0,22
Baraga,2017,4,7,0,22
Baraga,2017,5,8,0,22
Baraga,2017,6,9,0,22
Baraga,2017,7,10,0,22
Baraga,2017,8,11,0,22
Baraga,2017,9,12,0,22
Baraga,2017,10,13,0,22
Baraga,2017,11,14,0,22
Baraga,2017,12,15,0,22
Baraga,2018,1,16,0,22
Baraga,2018,2,17,0,22
Baraga,2018,3,18,0,22
Baraga,2018,4,19,0,22
Baraga,2018,5,20,0,22
Baraga,2018,6,21,0,22
Baraga,2018,7,22,1,22
Baraga,2018,8,23,1,22
Baraga,2018,9,24,1,22
Baraga,2018,10,25,1,22
Baraga,2018,11,26,1,22
Baraga,2018,12,27,1,22
Baraga,2019,1,28,1,22
Baraga,2019,2,29,1,22
Baraga,2019,3,30,1,22
Baraga,2019,4,31,1,22
Baraga,2019,5,32,1,22
