county_key,county_id,county
alcona,26001,Alcona
alger,26003,Alger
allegan,26005,Allegan
alpena,26007,Alpena
antrim,26009,Antrim
arenac,26011,Arenac
baraga,26013,Baraga
barry,26015,Barry
bay,26017,Bay
benzie,26019,Benzie
berrien,26021,Berrien
branch,26023,Branch
calhoun,26025,Calhoun
cass,26027,Cass
charlevoix,26029,Charlevoix
cheboygan,26031,Cheboygan
chippewa,26033,Chippewa
clare,26035,Clare
clinton,26037,Clinton
crawford,26039,Crawford
delta,26041,Delta
dickinson,26043,Dickinson
eaton,26045,Eaton
emmet,26047,Emmet
genesee,26049,Genesee
gladwin,26051,Gladwin
gogebic,26053,Gogebic
grandtraverse,26055,Grand Traverse
gratiot,26057,Gratiot
hillsdale,26059,Hillsdale
houghton,26061,Houghton
huron,26063,Huron
ingham,26065,Ingham
ionia,26067,Ionia
iosco,26069,Iosco
iron,26071,Iron
isabella,26073,Isabella
jackson,26075,Jackson
kalamazoo,26077,Kalamazoo
kalkaska,26079,Kalkaska
kent,26081,Kent
keweenaw,26083,Keweenaw
lake,26085,Lake
lapeer,26087,Lapeer
leelanau,26089,Leelanau
lenawee,26091,Lenawee
livingston,26093,Livingston
luce,26095,Luce
mackinac,26097,Mackinac
macomb,26099,Macomb
manistee,26101,Manistee
marquette,26103,Marquette
mason,26105,Mason
mecosta,26107,Mecosta
menominee,26109,Menominee
midland,26111,Midland
missaukee,26113,Missaukee
monroe,26115,Monroe
montcalm,26117,Montcalm
montmorency,26119,Montmorency
muskegon,26121,Muskegon
newaygo,26123,Newaygo
oakland,26125,Oakland
oceana,26127,Oceana
ogemaw,26129,Ogemaw
ontonagon,26131,Ontonagon
osceola,26133,Osceola
oscoda,26135,Oscoda
otsego,26137,Otsego
ottawa,26139,Ottawa
presqueisle,26141,Presque Isle
roscommon,26143,Roscommon
saginaw,26145,Saginaw
saintclair,26147,St. Clair
saintjoseph,26149,St. Joseph
sanilac,26151,Sanilac
schoolcraft,26153,Schoolcraft
shiawassee,26155,Shiawassee
tuscola,26157,Tuscola
vanburen,26159,Van Buren
washtenaw,26161,Washtenaw
wayne,26163,Wayne
wexford,26165,Wexford
