county_key,n_months_only_in_laus
alcona,3
alger,3
allegan,3
alpena,3
antrim,3
arenac,3
baraga,3
barry,3
bay,3
benzie,3
berrien,3
branch,3
calhoun,3
cass,3
charlevoix,3
cheboygan,3
chippewa,3
clare,3
clinton,3
crawford,3
delta,3
dickinson,3
eaton,3
emmet,3
genesee,3
gladwin,3
gogebic,3
grandtraverse,3
gratiot,3
hillsdale,3
houghton,3
huron,3
ingham,3
ionia,3
iosco,3
iron,3
isabella,3
jackson,3
kalamazoo,3
kalkaska,3
kent,3
keweenaw,3
lake,3
lapeer,3
leelanau,3
lenawee,3
livingston,3
luce,3
mackinac,3
macomb,3
manistee,3
marquette,3
mason,3
mecosta,3
menominee,3
midland,3
missaukee,3
monroe,3
montcalm,3
montmorency,3
muskegon,3
newaygo,3
oakland,3
oceana,3
ogemaw,3
ontonagon,3
osceola,3
oscoda,3
otsego,3
ottawa,3
presqueisle,3
roscommon,3
saginaw,3
saintclair,3
saintjoseph,3
sanilac,3
schoolcraft,3
shiawassee,3
tuscola,3
vanburen,3
washtenaw,3
wayne,3
wexford,3
