county,id_num,year,month,t,G,treated,Recipients,log_recip,participation_rate,labor_force,unemployment_rate,Cases,Payments
Alcona,1,2016,10,24202,24223,0,1278,7.153833801578843,0.35294117647058826,3621,6.3,713,141945
Alcona,1,2016,11,24203,24223,0,1304,7.173958319756794,0.36121883656509696,3610,7,735,144426
Alcona,1,2016,12,24204,24223,0,1296,7.167809184316444,0.36,3600,8.9,738,144893
Alcona,1,2017,1,24205,24223,0,1301,7.171656822768514,0.365757660950239,3557,9.6,749,145499
Alcona,1,2017,2,24206,24223,0,1320,7.186144304522325,0.3691275167785235,3576,9.6,757,150022
Alcona,1,2017,3,24207,24223,0,1337,7.198931240688173,0.3769382576825486,3547,8.7,752,150506
Alcona,1,2017,4,24208,24223,0,1318,7.1846291527173145,0.3675404350250976,3586,6.7,748,148488
Alcona,1,2017,5,24209,24223,0,1285,7.1592919047975645,0.33985718064004233,3781,6.1,738,147320
Alcona,1,2017,6,24210,24223,0,1280,7.155396301896734,0.3344656388816305,3827,6.2,727,142514
Alcona,1,2017,7,24211,24223,0,1266,7.144407180321139,0.3290876007278399,3847,7,732,141632
Alcona,1,2017,8,24212,24223,0,1245,7.1276936993473985,0.32832278481012656,3792,6.6,731,148172
Alcona,1,2017,9,24213,24223,0,1266,7.144407180321139,0.3395012067578439,3729,6,737,150206
Alcona,1,2017,10,24214,24223,0,1306,7.175489713624222,0.3624757146822093,3603,5.8,749,151505
Alcona,1,2017,11,24215,24223,0,1298,7.1693500166706,0.3606557377049181,3599,6.7,744,152037
Alcona,1,2017,12,24216,24223,0,1302,7.172424577124845,0.3660387967388248,3557,8.3,737,149381
Alcona,1,2018,1,24217,24223,0,1314,7.181591944611865,0.37087214225232856,3543,9.1,743,149614
Alcona,1,2018,2,24218,24223,0,1284,7.158513997329321,0.35956314757770935,3571,8.9,738,146727
Alcona,1,2018,3,24219,24223,0,1287,7.160845906664299,0.3583959899749373,3591,8.9,736,147712
Alcona,1,2018,4,24220,24223,0,1259,7.138866999945524,0.35335391523996634,3563,7.3,722,144103
Alcona,1,2018,5,24221,24223,0,1250,7.1316985104669115,0.33602150537634407,3720,5.9,716,144011
Alcona,1,2018,6,24222,24223,0,1228,7.113956109566034,0.32538420773714893,3774,6.5,712,140175
Alcona,1,2018,7,24223,24223,1,1203,7.093404625868766,0.31599684791174154,3807,6.3,701,136605
Alcona,1,2018,8,24224,24223,1,1206,7.095893221097532,0.32057416267942584,3762,5.5,703,136015
Alcona,1,2018,9,24225,24223,1,1185,7.078341579557671,0.32192339038304807,3681,5,695,130620
Alcona,1,2018,10,24226,24223,1,1137,7.037027614686276,0.31322314049586775,3630,4.8,677,123983
Alcona,1,2018,11,24227,24223,1,1143,7.042286171939743,0.318561872909699,3588,6,673,122651
Alcona,1,2018,12,24228,24223,1,1118,7.020190708311925,0.3131652661064426,3570,7.7,666,125653
Alcona,1,2019,1,24229,24223,0,1162,7.0587581525186645,0.3203749655362559,3627,9.1,678,127817
Alcona,1,2019,2,24230,24223,0,1181,7.074963197966044,0.32750970604547974,3606,8.7,682,129050
Alcona,1,2019,3,24231,24223,0,1171,7.066466970136958,0.32321280706596744,3623,8.8,682,126081
Alcona,1,2019,4,24232,24223,0,1137,7.037027614686276,0.31618464961067855,3596,6.6,667,119190
