Event_Time,ATT,Std_Error,CI_Lower,CI_Upper,N_units,Significant
-8,-1.0730161902780846,0.4951962732489077,-2.250912935736733,0.10488055518056383,NA,No
-7,1.2851117672830572,0.9018930144074409,-0.86017264580952,3.4303961803756344,NA,No
-6,0.11527173958790943,0.28690625047141205,-0.567176729712572,0.797720208888391,NA,No
-5,0.05305085472972643,0.23019416749378308,-0.49449963254585233,0.6006013420053051,NA,No
-4,0.26985226079263563,0.2765206083710745,-0.3878924401429799,0.9275969617282511,NA,No
-3,-0.17407506298117137,0.5013229115282865,-1.3665449134483367,1.018394787485994,NA,No
-2,-0.6920773178685421,0.45002134119853354,-1.7625188817901014,0.37836424605301733,NA,No
-1,-0.21169177863214617,0.13429116185957052,-0.5311229436941252,0.10773938642983283,NA,No
0,-0.6693805761278844,0.33977850585143327,-1.4775934360377472,0.13883228378197843,NA,No
1,-0.5762195013461713,0.259908852296669,-1.1944507114228604,0.04201170873051774,NA,No
