county,year,month,ok_avg_recip_per_case,ok_avg_per_person,ok_avg_per_case,computed_avg_recip_per_case,computed_avg_per_person,computed_avg_per_case,reported_avg_recip_per_case,reported_avg_per_person,reported_avg_per_case
Alcona,2014,10,True,True,True,1.8349875930521091,118.92292089249493,218.22208436724566,1.83,119.0,218.0
Alcona,2014,11,True,True,True,1.8519447929736512,118.5020325203252,219.45922208281053,1.85,119.0,219.0
Alcona,2014,12,True,True,True,1.8622448979591837,117.20479452054795,218.2640306122449,1.86,117.0,218.0
Alcona,2015,1,True,True,True,1.814955640050697,115.70111731843575,209.99239543726236,1.81,116.0,210.0
Alcona,2015,2,True,True,True,1.824716267339218,115.05390463026953,209.9407313997478,1.82,115.0,210.0
Alcona,2015,3,True,True,True,1.8384223918575064,117.03875432525952,215.16666666666666,1.84,117.0,215.0
Alcona,2015,4,True,True,True,1.820125786163522,117.67795438838978,214.18867924528303,1.82,118.0,214.0
Alcona,2015,5,True,True,True,1.833762886597938,117.19676739283204,214.91108247422682,1.83,117.0,215.0
Alcona,2015,6,True,True,True,1.818537859007833,114.79612347451544,208.76109660574411,1.82,115.0,209.0
Alcona,2015,7,True,True,True,1.8364116094986807,111.39152298850574,204.56068601583112,1.84,111.0,205.0
Alcona,2015,8,True,True,True,1.8501326259946949,109.5663082437276,202.71220159151193,1.85,110.0,203.0
Alcona,2015,9,True,True,True,1.839142091152815,107.68877551020408,198.05495978552278,1.84,108.0,198.0
Alcona,2015,10,True,True,True,1.8091397849462365,109.82392273402675,198.68682795698925,1.81,110.0,199.0
Alcona,2015,11,True,True,True,1.785619174434088,108.25876211782251,193.30892143808256,1.79,108.0,193.0
Alcona,2015,12,True,True,True,1.7930574098798397,107.9746835443038,193.60480640854473,1.79,108.0,194.0
Alcona,2016,1,True,True,True,1.7770360480640854,110.39669421487604,196.1789052069426,1.78,110.0,196.0
Alcona,2016,2,True,True,True,1.7661822985468956,113.08302169035153,199.72523117569352,1.77,113.0,200.0
Alcona,2016,3,True,True,True,1.7762803234501348,114.48937784522003,203.36522911051213,1.78,114.0,203.0
Alcona,2016,4,True,True,True,1.7877551020408162,111.33333333333333,199.03673469387755,1.79,111.0,199.0
Alcona,2016,5,True,True,True,1.7886178861788617,110.9,198.35772357723576,1.79,111.0,198.0
Alcona,2016,6,True,True,True,1.7958333333333334,114.73163186388244,206.0388888888889,1.8,115.0,206.0
Alcona,2016,7,True,True,True,1.810320781032078,112.07627118644068,202.89400278940028,1.81,112.0,203.0
Alcona,2016,8,True,True,True,1.8180555555555555,110.88388082505729,201.59305555555557,1.82,111.0,202.0
Alcona,2016,9,True,True,True,1.7847222222222223,109.65603112840466,195.70555555555555,1.78,110.0,196.0
Alcona,2016,10,True,True,True,1.7924263674614305,111.0680751173709,199.08134642356242,1.79,111.0,199.0
Alcona,2016,11,True,True,True,1.7741496598639457,110.75613496932516,196.49795918367346,1.77,111.0,196.0
Alcona,2016,12,True,True,True,1.7560975609756098,111.80015432098766,196.3319783197832,1.76,112.0,196.0
Alcona,2017,1,True,True,True,1.7369826435246996,111.83627978478094,194.25767690253673,1.74,112.0,194.0
Alcona,2017,2,True,True,True,1.7437252311756934,113.6530303030303,198.17965653896962,1.74,114.0,198.0
Alcona,2017,3,True,True,True,1.7779255319148937,112.56993268511593,200.1409574468085,1.78,113.0,200.0
Alcona,2017,4,True,True,True,1.7620320855614973,112.66160849772382,198.5133689839572,1.76,113.0,199.0
Alcona,2017,5,True,True,True,1.7411924119241193,114.64591439688716,199.62059620596207,1.74,115.0,200.0
Alcona,2017,6,True,True,True,1.7606602475928472,111.3390625,196.0302613480055,1.76,111.0,196.0
Alcona,2017,7,True,True,True,1.7295081967213115,111.8736176935229,193.4863387978142,1.73,112.0,193.0
Alcona,2017,8,True,True,True,1.7031463748290014,119.0136546184739,202.69767441860466,1.7,119.0,203.0
Alcona,2017,9,True,True,True,1.717774762550882,118.64612954186414,203.80732700135684,1.72,119.0,204.0
Alcona,2017,10,True,True,True,1.7436582109479306,116.00689127105666,202.27636849132176,1.74,116.0,202.0
Alcona,2017,11,True,True,True,1.7446236559139785,117.13174114021572,204.3508064516129,1.74,117.0,204.0
Alcona,2017,12,True,True,True,1.7666214382632293,114.73195084485407,202.68792401628224,1.77,115.0,203.0
Alcona,2018,1,True,True,True,1.7685060565275907,113.86149162861491,201.36473755047106,1.77,114.0,201.0
Alcona,2018,2,True,True,True,1.7398373983739837,114.2733644859813,198.8170731707317,1.74,114.0,199.0
Alcona,2018,3,True,True,True,1.7486413043478262,114.77233877233877,200.69565217391303,1.75,115.0,201.0
Alcona,2018,4,True,True,True,1.7437673130193905,114.45830023828435,199.58864265927977,1.74,114.0,200.0
Alcona,2018,5,True,True,True,1.7458100558659218,115.2088,201.13268156424581,1.75,115.0,201.0
Alcona,2018,6,True,True,True,1.7247191011235956,114.14902280130293,196.875,1.72,114.0,197.0
Alcona,2018,7,True,True,True,1.7161198288159771,113.55361596009975,194.8716119828816,1.72,114.0,195.0
Alcona,2018,8,True,True,True,1.7155049786628733,112.78192371475953,193.47795163584638,1.72,113.0,193.0
Alcona,2018,9,True,True,True,1.7050359712230216,110.22784810126582,187.94244604316546,1.71,110.0,188.0
Alcona,2018,10,True,True,True,1.6794682422451994,109.04397537379067,183.13589364844904,1.68,109.0,183.0
Alcona,2018,11,True,True,True,1.6983655274888558,107.30621172353456,182.2451708766716,1.7,107.0,182.0
Alcona,2018,12,True,True,True,1.6786786786786787,112.39087656529517,188.66816816816817,1.68,112.0,189.0
Alcona,2019,1,True,True,True,1.7138643067846608,109.99741824440619,188.52064896755164,1.71,110.0,189.0
Alcona,2019,2,True,True,True,1.7316715542521994,109.27180355630821,189.22287390029325,1.73,109.0,189.0
Alcona,2019,3,True,True,True,1.717008797653959,107.66951323654996,184.86950146627566,1.72,108.0,185.0
Alcona,2019,4,True,True,True,1.7046476761619191,104.82849604221636,178.69565217391303,1.7,105.0,179.0
Alcona,2019,5,True,True,True,1.7006079027355623,106.53976764968722,181.1823708206687,1.7,107.0,181.0
Alcona,2019,6,True,True,True,1.694915254237288,107.51727272727273,182.2326656394453,1.69,108.0,182.0
Alcona,2019,7,True,True,True,1.7060653188180404,109.87420237010028,187.45256609642303,1.71,110.0,187.0
Alcona,2019,8,True,True,True,1.7264,109.24281742354032,188.5968,1.73,109.0,189.0
Alcona,2019,9,True,True,True,1.703883495145631,106.15669515669515,180.87864077669903,1.7,106.0,181.0
Alcona,2019,10,True,True,True,1.7099358974358974,105.78444236176195,180.8846153846154,1.71,106.0,181.0
Alcona,2019,11,True,True,True,1.6855753646677472,102.4,172.6029173419773,1.69,102.0,173.0
Alcona,2019,12,True,True,True,1.6886792452830188,101.9608938547486,172.17924528301887,1.69,102.0,172.0
Alcona,2020,1,True,True,True,1.7073170731707317,104.10714285714286,177.7439024390244,1.71,104.0,178.0
Alcona,2020,2,True,True,True,1.697503671071953,104.14532871972318,176.7870778267254,1.7,104.0,177.0
Alcona,2020,3,True,True,True,1.6894150417827298,168.520197856554,284.70055710306406,1.69,169.0,285.0
Alcona,2020,4,True,True,True,1.7509481668773703,160.93140794223828,281.78255372945637,1.75,161.0,282.0
Alcona,2020,5,True,True,True,1.758745476477684,175.02880658436214,307.8311218335344,1.76,175.0,308.0
Alcona,2020,6,True,True,True,1.727735368956743,175.31664212076583,302.90076335877865,1.73,175.0,303.0
Alcona,2020,7,True,True,True,1.681081081081081,175.7411575562701,295.4351351351351,1.68,176.0,295.0
Alcona,2020,8,True,True,True,1.6712517193947731,172.840329218107,288.85969738651994,1.67,173.0,289.0
Alcona,2020,9,True,True,True,1.706043956043956,171.11191626409018,291.92445054945057,1.71,171.0,292.0
Alcona,2020,10,True,True,True,1.7325102880658436,182.63182897862234,316.4115226337449,1.73,183.0,316.0
Alcona,2020,11,True,True,True,1.7391891891891893,180.63558663558663,314.15945945945947,1.74,181.0,314.0
Alcona,2020,12,True,True,True,1.7216358839050132,178.84291187739464,307.9023746701847,1.72,179.0,308.0
Alcona,2021,1,True,True,True,1.744429882044561,209.5221637866266,365.4967234600262,1.74,210.0,365.0
Alcona,2021,2,True,True,True,1.7461139896373057,212.8879821958457,371.72668393782385,1.75,213.0,372.0
Alcona,2021,3,True,True,True,1.752925877763329,209.19362017804156,366.70091027308194,1.75,209.0,367.0
Alcona,2021,4,True,True,True,1.7362637362637363,210.8844936708861,366.1510989010989,1.74,211.0,366.0
Alcona,2021,5,True,True,True,1.7308781869688386,228.24058919803602,395.05665722379604,1.73,228.0,395.0
Alcona,2021,6,True,True,True,1.736842105263158,199.93939393939394,347.2631578947368,1.74,200.0,347.0
Alcona,2021,7,True,True,True,1.7358757062146892,222.62164361269325,386.44350282485874,1.74,223.0,386.0
