county_key,county_id,county,year,month,fap_cases,fap_recipients,fap_payments,adult_recipients,child_recipients,unemployment_rate,employment,unemployed,labor_force
alcona,26001,Alcona,2014,10,806,1479,175887,1019,460,7.5,3471,280,3751
alcona,26001,Alcona,2014,11,797,1476,174909,1013,463,8.4,3401,310,3711
alcona,26001,Alcona,2014,12,784,1460,171119,1000,460,9.1,3340,335,3675
alcona,26001,Alcona,2015,1,789,1432,165684,1004,428,10.5,3329,392,3721
alcona,26001,Alcona,2015,2,793,1447,166483,1008,439,10.2,3309,377,3686
alcona,26001,Alcona,2015,3,786,1445,169121,998,447,9.9,3343,368,3711
alcona,26001,Alcona,2015,4,795,1447,170280,1006,441,8.2,3454,307,3761
alcona,26001,Alcona,2015,5,776,1423,166771,989,434,7.9,3634,312,3946
alcona,26001,Alcona,2015,6,766,1393,159911,979,414,7.6,3691,302,3993
alcona,26001,Alcona,2015,7,758,1392,155057,969,423,7.7,3706,308,4014
alcona,26001,Alcona,2015,8,754,1395,152845,965,430,6.9,3688,274,3962
alcona,26001,Alcona,2015,9,746,1372,147749,958,414,6.2,3630,240,3870
alcona,26001,Alcona,2015,10,744,1346,147823,946,400,6.3,3548,240,3788
alcona,26001,Alcona,2015,11,751,1341,145175,949,392,7.1,3468,265,3733
alcona,26001,Alcona,2015,12,749,1343,145010,944,399,7.8,3415,287,3702
alcona,26001,Alcona,2016,1,749,1331,146938,939,392,9,3257,322,3579
alcona,26001,Alcona,2016,2,757,1337,151192,947,390,9.5,3260,344,3604
alcona,26001,Alcona,2016,3,742,1318,150897,931,387,9.5,3255,340,3595
alcona,26001,Alcona,2016,4,735,1314,146292,929,385,8.9,3300,321,3621
alcona,26001,Alcona,2016,5,738,1320,146388,922,398,7.5,3467,281,3748
alcona,26001,Alcona,2016,6,720,1293,148348,902,391,7.4,3544,282,3826
alcona,26001,Alcona,2016,7,717,1298,145475,898,400,7.7,3573,297,3870
alcona,26001,Alcona,2016,8,720,1309,145147,904,405,6.8,3547,258,3805
alcona,26001,Alcona,2016,9,720,1285,140908,896,389,6.3,3479,232,3711
alcona,26001,Alcona,2016,10,713,1278,141945,895,383,6.3,3392,229,3621
alcona,26001,Alcona,2016,11,735,1304,144426,916,388,7,3358,252,3610
alcona,26001,Alcona,2016,12,738,1296,144893,915,381,8.9,3281,319,3600
alcona,26001,Alcona,2017,1,749,1301,145499,925,376,9.6,3215,342,3557
alcona,26001,Alcona,2017,2,757,1320,150022,939,381,9.6,3231,345,3576
alcona,26001,Alcona,2017,3,752,1337,150506,939,398,8.7,3239,308,3547
alcona,26001,Alcona,2017,4,748,1318,148488,932,386,6.7,3345,241,3586
alcona,26001,Alcona,2017,5,738,1285,147320,915,370,6.1,3550,231,3781
alcona,26001,Alcona,2017,6,727,1280,142514,905,375,6.2,3588,239,3827
alcona,26001,Alcona,2017,7,732,1266,141632,902,364,7,3578,269,3847
alcona,26001,Alcona,2017,8,731,1245,148172,896,349,6.6,3541,251,3792
alcona,26001,Alcona,2017,9,737,1266,150206,905,361,6,3506,223,3729
alcona,26001,Alcona,2017,10,749,1306,151505,920,386,5.8,3395,208,3603
alcona,26001,Alcona,2017,11,744,1298,152037,912,386,6.7,3358,241,3599
alcona,26001,Alcona,2017,12,737,1302,149381,914,388,8.3,3260,297,3557
alcona,26001,Alcona,2018,1,743,1314,149614,924,390,9.1,3222,321,3543
alcona,26001,Alcona,2018,2,738,1284,146727,918,366,8.9,3252,319,3571
alcona,26001,Alcona,2018,3,736,1287,147712,919,368,8.9,3273,318,3591
alcona,26001,Alcona,2018,4,722,1259,144103,899,360,7.3,3303,260,3563
alcona,26001,Alcona,2018,5,716,1250,144011,890,360,5.9,3500,220,3720
alcona,26001,Alcona,2018,6,712,1228,140175,880,348,6.5,3528,246,3774
alcona,26001,Alcona,2018,7,701,1203,136605,866,337,6.3,3569,238,3807
alcona,26001,Alcona,2018,8,703,1206,136015,865,341,5.5,3554,208,3762
alcona,26001,Alcona,2018,9,695,1185,130620,858,327,5,3497,184,3681
alcona,26001,Alcona,2018,10,677,1137,123983,828,309,4.8,3455,175,3630
alcona,26001,Alcona,2018,11,673,1143,122651,828,315,6,3372,216,3588
alcona,26001,Alcona,2018,12,666,1118,125653,818,300,7.7,3295,275,3570
alcona,26001,Alcona,2019,1,678,1162,127817,843,319,9.1,3298,329,3627
alcona,26001,Alcona,2019,2,682,1181,129050,843,338,8.7,3292,314,3606
alcona,26001,Alcona,2019,3,682,1171,126081,841,330,8.8,3303,320,3623
alcona,26001,Alcona,2019,4,667,1137,119190,817,320,6.6,3358,238,3596
alcona,26001,Alcona,2019,5,658,1119,119218,806,313,6,3600,229,3829
alcona,26001,Alcona,2019,6,649,1100,118269,792,308,6.4,3631,249,3880
alcona,26001,Alcona,2019,7,643,1097,120532,779,318,6.6,3675,260,3935
alcona,26001,Alcona,2019,8,625,1079,117873,761,318,5.8,3670,228,3898
