county,year,month,cases,recipients,adult recipients,child recipients,payments,average per case,average per person,avg. recipients per case,ln_cases,ln_recipients,ln_payments,adult_share,child_share
Alcona,2014,10,806.0,1479.0,1019.0,460.0,175887.0,218.22208436724566,118.92292089249493,1.8349875930521091,6.692083742506628,7.2991214627108,12.077597022366296,0.6889790398918187,0.3110209601081812
Alcona,2014,11,797.0,1476.0,1013.0,463.0,174909.0,219.45922208281053,118.5020325203252,1.8519447929736512,6.680854678790215,7.297091005160418,12.072021117658764,0.6863143631436315,0.3136856368563686
Alcona,2014,12,784.0,1460.0,1000.0,460.0,171119.0,218.2640306122449,117.20479452054795,1.8622448979591837,6.664409020350408,7.286191714702382,12.050114499886945,0.684931506849315,0.3150684931506849
Alcona,2015,1,789.0,1432.0,1004.0,428.0,165684.0,209.99239543726236,115.70111731843575,1.814955640050697,6.670766320845874,7.266827347520591,12.017837638704153,0.7011173184357542,0.2988826815642458
Alcona,2015,2,793.0,1447.0,1008.0,439.0,166483.0,209.9407313997478,115.05390463026953,1.824716267339218,6.675823221634848,7.277247726631484,12.022648481087758,0.6966136834830684,0.3033863165169316
Alcona,2015,3,786.0,1445.0,998.0,447.0,169121.0,215.16666666666666,117.03875432525952,1.8384223918575064,6.666956792429207,7.275864600546533,12.038369714047795,0.6906574394463668,0.30934256055363324
Alcona,2015,4,795.0,1447.0,1006.0,441.0,170280.0,214.18867924528303,117.67795438838978,1.820125786163522,6.678342114654332,7.277247726631484,12.045199419942088,0.6952315134761575,0.3047684865238424
Alcona,2015,5,776.0,1423.0,989.0,434.0,166771.0,214.91108247422682,117.19676739283204,1.833762886597938,6.654152520183219,7.260522598089852,12.024376892879951,0.6950105411103303,0.3049894588896697
Alcona,2015,6,766.0,1393.0,979.0,414.0,159911.0,208.76109660574411,114.79612347451544,1.818537859007833,6.641182169740591,7.239214973779806,11.982372689451537,0.7027997128499641,0.2972002871500359
Alcona,2015,7,758.0,1392.0,969.0,423.0,155057.0,204.56068601583112,111.39152298850574,1.8364116094986807,6.630683385642372,7.238496840894365,11.951548070236374,0.6961206896551724,0.30387931034482757
