Specification,ATT,SE,CI_lower,CI_upper,t_stat,p_value,Sig
"Comparison: CS DR-DiD (post 1-3mo, early cohorts)",-0.03668517675798938,0.04320133730782635,-0.12135979788132902,0.047989444365350256,0.849167619432547,0.3957880283783606,
"Comparison: CS (post 1-6mo, early cohorts)",-0.04649015145221575,0.024268222427162756,-0.09405586740945475,0.0010755645050232465,1.9156801282726255,0.055405823336873716,*
Alt 1: Sun-Abraham (post 1-3mo),0.06045019453690465,0.007346234359594943,0.046051575192098564,0.07484881388171075,8.228732106531618,2.220446049250313e-16,***
"Alt 1: Sun-Abraham (post 1-6mo, secondary)",0.05687899251720469,0.0050738102505778785,0.04693432442607205,0.06682366060833733,11.210311325837717,0,***
Alt 2: Imputation (post 1-3mo),-0.06513230851881684,0.005089912328754488,-0.07510853668317563,-0.05515608035445804,12.796351746741156,0,***
"Alt 2: Imputation (post 1-6mo, secondary)",-0.08365237176477108,0.003731051695975389,-0.09096523308888285,-0.07633951044065931,22.420587700514904,0,***
Main: Stacked (post 1-3mo),-0.04313335205980998,0.0068440098508637,-0.05654761136750283,-0.02971909275211713,6.30235096087225,2.931643816594942e-10,***
Main: Stacked (post 1-6mo),-0.06738252075835467,0.006917907732963395,-0.08094161991496293,-0.05382342160174642,9.740303478937888,0,***
Robust: Anticipation=0,-0.015955860212480254,0.07382328688065022,-0.16064950249855467,0.12873778207359418,0.21613586832398865,0.8288818415359689,
Robust: Anticipation=1,-0.08331500370273258,0.14107864819450505,-0.3598291541639625,0.1931991467584973,0.5905571450320833,0.5548171861736555,
Robust: Anticipation=3,-0.030843127343745176,0.1681342486172265,-0.3603862546335091,0.29869999994601876,0.1834434542480543,0.854450082749836,
Robust: Trim to pre-final cohort,-0.03668517675798938,0.04142769733651739,-0.11788346353756346,0.0445131100215847,0.8855229500205022,0.3758746472851946,
Robust: Pop-weighted,-0.05242281012696885,0.0972250082134195,-0.2429838262252711,0.13813820597133336,0.539190596023351,0.5897553484985989,
Robust: Level outcome (winsorized),-0.2626443300646848,8.83516709462668,-17.579571835532978,17.054283175403608,0.029727149158776892,0.9762846595887749,
Robust: Post 1-2mo,0.005461866459888807,0.050473629810699,-0.09346644796908124,0.10439018088885885,0.10821227798304776,0.9138273057272253,
Robust: Post 1-4mo,-0.044015338054656,0.03466221987251354,-0.11195328900478255,0.02392261289547054,1.2698360986844728,0.20414301913318478,
Robust: Drop cohort 24204,-0.04343778596470808,0.04168037612774725,-0.12513132317509268,0.03825575124567653,1.0421639630020252,0.29733566764653596,
Robust: LOO min (cohort 24204),-0.05187062643707977,0.13373918056135745,-0.3139994203373404,0.21025816746318085,0.38784914203420245,0.6981276764245188,
Robust: LOO max (cohort 24204),-0.029245283459298534,0.0477499480786494,-0.12283518169345137,0.06434461477485429,0.6124673352760164,0.5402286032503834,
Robust: Excl. Wayne County,-0.372362669856717,0.10301741986822577,-0.5742768127984395,-0.1704485269149945,3.6145602397441414,3.008578590588673e-4,***
