Event_Time,ATT,Std_Error,CI_Lower,CI_Upper,Significant
-20, 0.0078835,0.001939, 0.0040839, 0.0116831,Yes
-19, 0.0085899,0.001779, 0.0051025, 0.0120774,Yes
-18, 0.0007259,0.002385,-0.0039486, 0.0054005,No
-17, 0.0078002,0.002097, 0.0036905, 0.0119100,Yes
-16, 0.0043521,0.002511,-0.0005693, 0.0092735,No
-15, 0.0044729,0.002411,-0.0002531, 0.0091988,No
-14, 0.0018989,0.001904,-0.0018329, 0.0056308,No
-13,-0.0043842,0.003247,-0.0107477, 0.0019793,No
-12,-0.0029540,0.002774,-0.0083918, 0.0024838,No
-11,-0.0032650,0.001775,-0.0067437, 0.0002138,No
-10,-0.0012250,0.002996,-0.0070972, 0.0046472,No
-9,-0.0057124,0.002456,-0.0105261,-0.0008987,Yes
-8, 0.0007596,0.002385,-0.0039156, 0.0054348,No
-7, 0.0052661,0.001744, 0.0018475, 0.0086848,Yes
-6, 0.0063850,0.001167, 0.0040984, 0.0086716,Yes
-5, 0.0039816,0.001610, 0.0008255, 0.0071376,Yes
-4,-0.0001048,0.001337,-0.0027253, 0.0025156,No
-3,-0.0002812,0.001535,-0.0032902, 0.0027278,No
-2,-0.0035747,0.001127,-0.0057840,-0.0013654,Yes
-1,-0.0077953,0.001345,-0.0104321,-0.0051585,Yes
0,-0.0096757,0.001561,-0.0127356,-0.0066158,Yes
1,-0.0197501,0.002598,-0.0248420,-0.0146583,Yes
2,-0.0283047,0.003361,-0.0348917,-0.0217177,Yes
3,-0.0247557,0.003688,-0.0319850,-0.0175264,Yes
4,-0.0328589,0.005684,-0.0439987,-0.0217192,Yes
5,-0.0413853,0.005185,-0.0515478,-0.0312228,Yes
6,-0.0490569,0.007989,-0.0647149,-0.0333989,Yes
7,-0.0450887,0.007893,-0.0605578,-0.0296196,Yes
8,-0.0458828,0.009151,-0.0638192,-0.0279464,Yes
9,-0.0456178,0.004435,-0.0543098,-0.0369259,Yes
10,-0.0565388,0.004196,-0.0647634,-0.0483142,Yes
11,-0.0662908,0.005551,-0.0771702,-0.0554113,Yes
12,-0.0717609,0.005555,-0.0826487,-0.0608730,Yes
13,-0.0797985,0.006574,-0.0926834,-0.0669136,Yes
14,-0.0800582,0.005532,-0.0909007,-0.0692156,Yes
15,-0.0782201,0.005627,-0.0892491,-0.0671912,Yes
16,-0.0750630,0.006771,-0.0883341,-0.0617920,Yes
17,-0.0776932,0.008355,-0.0940690,-0.0613173,Yes
18,-0.0997084,0.007004,-0.1134356,-0.0859812,Yes
19,-0.0993698,0.006222,-0.1115640,-0.0871756,Yes
20,-0.0988563,0.002720,-0.1041876,-0.0935250,Yes
