Specification,ATT,SE,CI_lower,CI_upper,t_stat,p_value,Sig
"Main (CS, Ant=2)",-0.06046919819452699,0.01032376194720215,-0.08070377161104321,-0.04023462477801076,5.857283275590714,4.705002165650285e-9,***
CS post 1-6mo avg,-0.05687474396070489,0.00297353916909499,-0.06270288073213108,-0.0510466071892787,19.12695301001024,0,***
Robustness: Ant=0 (no anticipation),-0.0445309750327517,0.00750156444449148,-0.059234041343955,-0.0298279087215484,5.936225085082288,2.9165931891839132e-9,***
Anticipation = 0,-0.0445309750327517,0.00729393679965394,-0.05882709116007344,-0.03023485890542996,6.10520439865402,1.026692064698409e-9,***
Anticipation = 6,-0.06953680286961661,0.01172231364480864,-0.09251253761344155,-0.04656106812579166,5.932003269713887,2.992606606966319e-9,***
Excl. Wayne County,-0.2137546656280002,0.13020870698376322,-0.4689637313161761,0.04145440006017573,1.6416311211404242,0.10066647402804674,NA
"Static TWFE (Ant=2, aligned)",-0.03871481179981372,0.00596459672126318,-0.05040542137348956,-0.02702420222613787,6.4907677097094085,8.540013141100644e-11,***
"Static TWFE (Ant=0, comparison)",-0.06080921562045111,0.00633178181974454,-0.07321950798715042,-0.04839892325375179,9.60380779875078,0,***
"CS-DID (main, Ant=2)",-0.06046919819452699,0.010323761947202153,-0.08070377161104321,-0.040234624778010764,5.857283275590714,4.705002165650285e-9,***
Gardner did2s (static),-0.09786815502378861,0.009966696308580894,-0.11740287978860717,-0.07833343025897005,9.819518122522542,0,***
Gardner did2s (post 0-6),-0.08120611000280403,0.008152984939451532,-0.09718596048412903,-0.06522625952147904,9.960291918344563,0,***
BJS imputation (post 0-6),-0.08120611000280403,0.0033934094632344365,-0.08785719255074353,-0.07455502745486453,23.930536789804975,0,***
SA 2021 (<e2><9a><a0> unstable),0.0338526584460464,0.008509820035797644,0.01717341117588302,0.05053190571620979,3.97806984209312,6.94769659683736e-5,***
